Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,1.426,0.823,1.147,1.363,1.583,1.935,2.189,2.492,2.492,0.701
5,16.400,1.306,0.864,1.128,1.273,1.449,1.613,1.699,1.949,1.949,0.766
10,22.800,1.229,0.700,1.076,1.227,1.368,1.509,1.588,1.768,1.791,0.813
15,19.000,1.290,0.859,1.120,1.238,1.402,1.581,1.873,2.441,2.441,0.775
20,18.600,1.333,0.920,1.100,1.216,1.461,1.716,1.968,3.777,3.777,0.750
25,18.000,1.276,0.718,1.148,1.263,1.381,1.590,1.650,2.011,2.011,0.784
30,20.400,1.276,0.821,1.090,1.241,1.407,1.586,1.709,2.211,2.282,0.783
35,17.800,1.335,0.941,1.193,1.285,1.465,1.583,1.741,2.200,2.200,0.749
40,19.200,1.320,0.761,1.133,1.252,1.414,1.721,1.903,3.319,3.319,0.757
45,24.200,1.224,0.702,1.068,1.205,1.338,1.482,1.631,1.967,2.237,0.817
50,18.800,1.354,0.779,1.094,1.270,1.412,1.903,2.096,3.153,3.153,0.738
55,18.600,1.279,0.791,1.122,1.253,1.384,1.581,1.759,2.294,2.294,0.782
