Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,93.400,2.382,0.783,1.300,1.760,2.740,4.093,5.351,10.278,29.935,0.420
5,86.800,2.419,0.689,1.079,1.748,2.518,3.799,5.319,17.691,55.043,0.413
10,169.400,1.007,0.601,0.710,0.798,1.334,1.575,1.698,2.116,4.512,0.993
15,175.200,1.045,0.600,0.717,0.806,1.337,1.608,1.777,2.646,9.861,0.957
20,166.400,1.120,0.601,0.711,1.048,1.491,1.656,1.753,2.143,3.568,0.893
25,215.800,0.817,0.581,0.680,0.715,0.784,1.323,1.502,1.753,2.830,1.224
30,138.800,1.355,0.593,0.790,0.999,1.415,1.765,2.146,4.007,71.894,0.738
35,161.000,1.221,0.610,0.764,0.960,1.402,1.815,2.348,4.750,14.160,0.819
40,123.400,1.342,0.580,0.755,0.890,1.245,1.872,2.602,8.058,72.408,0.745
45,156.200,1.135,0.594,0.745,0.959,1.319,1.618,1.894,3.910,14.990,0.881
50,139.000,1.299,0.568,0.705,1.053,1.400,1.696,1.921,3.888,77.523,0.770
55,161.000,1.141,0.583,0.692,1.250,1.527,1.690,1.771,2.042,6.193,0.876
