Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.600,1.620,0.890,1.177,1.325,1.975,2.481,3.080,3.686,3.686,0.617
5,18.000,1.590,0.865,1.117,1.294,1.706,2.081,2.741,13.641,13.641,0.629
10,13.200,1.558,0.743,1.130,1.337,1.829,2.507,2.838,4.092,4.092,0.642
15,14.400,1.589,0.996,1.230,1.432,1.903,2.467,2.784,3.187,3.187,0.629
20,15.000,1.670,0.891,1.182,1.553,1.976,2.527,2.776,4.220,4.220,0.599
25,17.000,1.484,0.767,1.105,1.296,1.635,2.127,3.050,3.888,3.888,0.674
30,16.800,1.409,0.729,1.162,1.289,1.555,1.940,1.992,3.112,3.112,0.710
35,11.400,1.537,0.771,1.257,1.439,1.745,2.098,2.391,3.272,3.272,0.651
40,18.000,1.404,0.840,1.192,1.335,1.533,1.733,2.055,3.095,3.095,0.712
45,15.600,1.603,0.974,1.160,1.433,1.895,2.443,3.007,3.547,3.547,0.624
50,13.200,1.563,0.848,1.126,1.302,1.834,2.630,2.828,4.996,4.996,0.640
55,15.200,1.462,0.890,1.093,1.332,1.579,2.262,2.460,5.464,5.464,0.684
