Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,269.400,3.694,0.377,1.431,2.564,4.564,7.651,10.384,18.801,53.843,0.271
5,359.400,2.772,0.332,1.176,1.857,3.554,6.039,7.085,13.188,20.271,0.361
10,362.800,2.746,0.319,0.837,1.814,3.393,6.134,7.303,13.978,26.673,0.364
15,354.000,2.817,0.267,1.204,1.772,4.008,5.845,6.765,12.338,14.476,0.355
20,317.800,3.135,0.291,1.405,1.812,4.690,6.704,7.650,13.861,19.178,0.319
25,350.200,2.848,0.319,0.869,1.865,3.605,6.137,7.791,14.071,52.063,0.351
30,345.200,2.894,0.309,0.891,1.972,3.465,6.765,8.193,14.247,28.954,0.346
35,331.000,3.007,0.271,1.047,1.899,4.296,6.695,7.940,13.985,20.860,0.333
40,372.600,2.676,0.305,0.872,1.757,3.280,5.937,7.169,12.982,37.142,0.374
45,389.800,2.558,0.289,0.792,1.771,3.076,5.767,7.070,13.354,40.381,0.391
50,343.600,2.905,0.281,0.934,1.874,3.548,6.436,8.028,14.580,56.001,0.344
55,328.400,3.033,0.295,1.332,1.760,4.424,6.424,7.569,13.447,16.828,0.330
