Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,167.200,3.657,1.067,2.343,3.048,4.546,6.136,7.450,10.122,17.268,0.273
5,199.800,3.192,0.994,2.110,2.720,3.346,5.618,6.773,8.111,22.704,0.313
10,180.400,3.489,1.188,2.257,2.852,4.194,5.970,7.301,10.007,22.140,0.287
15,209.000,2.976,1.412,2.005,2.510,3.120,4.951,6.598,10.060,18.351,0.336
20,230.600,2.723,1.160,1.893,2.392,2.932,4.478,5.823,7.416,9.414,0.367
25,234.400,2.690,0.948,1.974,2.445,2.980,4.012,5.086,6.594,10.080,0.372
30,233.800,2.742,0.905,1.938,2.417,2.969,4.193,5.926,7.769,17.292,0.365
35,252.600,2.492,1.085,1.918,2.375,2.814,3.116,3.574,6.840,15.011,0.401
40,221.800,2.799,1.401,1.946,2.518,3.047,4.284,5.542,8.035,12.767,0.357
45,163.000,4.090,1.300,2.404,3.190,5.017,7.178,8.782,15.046,19.711,0.245
50,193.800,3.260,1.283,2.339,2.914,3.793,5.027,5.851,8.173,15.161,0.307
55,149.600,4.302,1.470,2.562,3.758,5.549,7.388,8.463,12.111,16.216,0.232
