Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.200,7.984,5.489,6.088,6.537,7.817,12.496,14.494,19.945,19.945,0.125
5,16.400,8.496,5.381,5.701,6.140,12.068,13.854,14.181,19.279,19.279,0.118
10,23.200,7.238,5.118,5.639,5.849,7.344,13.135,13.668,13.885,14.155,0.138
15,14.200,9.037,5.190,5.567,6.042,13.292,14.125,15.030,17.933,17.933,0.111
20,15.400,8.470,5.254,5.610,6.078,11.987,12.662,13.434,14.184,14.184,0.118
25,16.600,8.306,5.244,5.584,5.857,11.594,13.676,14.206,26.915,26.915,0.120
30,19.800,8.059,5.287,5.657,5.944,11.657,13.399,14.670,16.796,16.796,0.124
35,17.200,8.143,5.262,5.572,5.879,11.796,13.328,14.497,19.187,19.187,0.123
40,14.400,8.825,5.218,5.548,6.613,12.791,13.694,13.799,17.514,17.514,0.113
45,16.000,8.361,5.280,5.559,6.104,11.865,13.211,13.891,15.156,15.156,0.120
50,17.200,8.707,5.122,5.585,6.918,11.717,13.895,14.607,16.911,16.911,0.115
55,16.200,7.599,5.150,5.435,5.654,11.096,13.286,13.801,14.681,14.681,0.132
