Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1710603304.311940,3055,0,1
2,Payment,1710603304.315018,1442,0,1
2,Payment,1710603304.316483,979,0,1
4,Delivery,1710603304.317478,8918,0,1
2,Payment,1710603304.326420,1020,0,1
2,Payment,1710603304.327456,887,0,1
1,NewOrder,1710603304.328357,2976,0,1
2,Payment,1710603304.331353,991,0,1
1,NewOrder,1710603304.332358,3781,0,1
1,NewOrder,1710603304.336159,2831,0,1
2,Payment,1710603304.339011,976,0,1
2,Payment,1710603304.340003,3150,0,1
1,NewOrder,1710603304.343174,2140,0,1
2,Payment,1710603304.345332,1191,0,1
2,Payment,1710603304.346538,840,0,1
4,Delivery,1710603304.347390,10532,0,1
4,Delivery,1710603304.357945,8757,0,1
2,Payment,1710603304.366726,3692,0,1
5,StockLevel,1710603304.370442,1513,0,1
1,NewOrder,1710603304.371976,2734,0,1
2,Payment,1710603304.374730,1061,0,1
1,NewOrder,1710603304.375807,1975,0,1
2,Payment,1710603304.377800,1038,0,1
1,NewOrder,1710603304.378852,3167,0,1
1,NewOrder,1710603304.382039,4654,0,1
4,Delivery,1710603304.386717,10081,0,1
1,NewOrder,1710603304.396822,3601,0,1
2,Payment,1710603304.400446,1020,0,1
1,NewOrder,1710603304.401484,3708,0,1
2,Payment,1710603304.405216,1130,0,1
3,OrderStatus,1710603304.406365,1955,0,1
2,Payment,1710603304.408338,1192,0,1
2,Payment,1710603304.409548,1880,0,1
1,NewOrder,1710603304.411448,3274,0,1
1,NewOrder,1710603304.414744,3189,0,1
3,OrderStatus,1710603304.417954,1629,0,1
2,Payment,1710603304.419602,1193,0,1
3,OrderStatus,1710603304.420816,2123,0,1
2,Payment,1710603304.422959,1353,0,1
2,Payment,1710603304.424335,1085,0,1
1,NewOrder,1710603304.425441,4118,0,1
5,StockLevel,1710603304.429583,1639,0,1
2,Payment,1710603304.431241,1039,0,1
2,Payment,1710603304.432295,4968,0,1
1,NewOrder,1710603304.437286,3648,0,1
2,Payment,1710603304.440954,1079,0,1
3,OrderStatus,1710603304.442048,1239,0,1
2,Payment,1710603304.443301,1223,0,1
2,Payment,1710603304.444540,1202,0,1
1,NewOrder,1710603304.445756,2719,0,1
2,Payment,1710603304.448499,1471,0,1
2,Payment,1710603304.449990,984,0,1
2,Payment,1710603304.450991,1305,0,1
1,NewOrder,1710603304.452313,3433,0,1
1,NewOrder,1710603304.455767,4029,0,1
1,NewOrder,1710603304.459819,2852,0,1
1,NewOrder,1710603304.462691,2253,0,1
2,Payment,1710603304.464965,1412,0,1
2,Payment,1710603304.466751,1074,0,1
2,Payment,1710603304.467863,1000,0,1
1,NewOrder,1710603304.468879,3542,0,1
1,NewOrder,1710603304.472455,4041,0,1
5,StockLevel,1710603304.476516,1520,0,1
1,NewOrder,1710603304.478053,2885,0,1
1,NewOrder,1710603304.480960,2925,0,1
1,NewOrder,1710603304.483907,4134,0,1
3,OrderStatus,1710603304.488062,1113,0,1
2,Payment,1710603304.489191,1707,0,1
5,StockLevel,1710603304.490914,1185,0,1
4,Delivery,1710603304.492113,7625,0,1
4,Delivery,1710603304.499759,7734,0,1
2,Payment,1710603304.507517,937,0,1
2,Payment,1710603304.508474,1268,0,1
3,OrderStatus,1710603304.509757,977,0,1
1,NewOrder,1710603304.510747,3781,0,1
1,NewOrder,1710603304.514547,2439,0,1
1,NewOrder,1710603304.517005,2195,0,1
2,Payment,1710603304.519220,1073,0,1
2,Payment,1710603304.520312,1003,0,1
2,Payment,1710603304.521329,5952,0,1
1,NewOrder,1710603304.527306,7970,0,1
2,Payment,1710603304.535300,1974,0,1
2,Payment,1710603304.537343,1855,0,1
2,Payment,1710603304.539263,1498,0,1
2,Payment,1710603304.540775,1705,0,1
2,Payment,1710603304.542543,2052,0,1
2,Payment,1710603304.544661,1718,0,1
4,Delivery,1710603304.546391,12312,0,1
1,NewOrder,1710603304.558726,4052,0,1
2,Payment,1710603304.562801,1586,0,1
2,Payment,1710603304.564406,2600,0,1
1,NewOrder,1710603304.567029,4692,0,1
2,Payment,1710603304.571746,1681,0,1
1,NewOrder,1710603304.573448,6794,0,1
1,NewOrder,1710603304.580288,5909,0,1
1,NewOrder,1710603304.586270,6984,0,1
1,NewOrder,1710603304.593315,6112,0,1
2,Payment,1710603304.599448,2122,0,1
1,NewOrder,1710603304.601585,6708,0,1
1,NewOrder,1710603304.608312,5887,0,1
2,Payment,1710603304.614220,1803,0,1
1,NewOrder,1710603304.616039,6254,0,1
2,Payment,1710603304.622315,2235,0,1
1,NewOrder,1710603304.624568,6554,0,1
1,NewOrder,1710603304.631142,7167,0,1
1,NewOrder,1710603304.638330,6494,0,1
1,NewOrder,1710603304.644844,4458,0,1
1,NewOrder,1710603304.649320,6297,0,1
1,NewOrder,1710603304.655636,4747,0,1
2,Payment,1710603304.660402,2035,0,1
1,NewOrder,1710603304.662452,4785,0,1
2,Payment,1710603304.667254,2109,0,1
1,NewOrder,1710603304.669400,8436,0,1
2,Payment,1710603304.677892,4427,0,1
1,NewOrder,1710603304.682372,8596,0,1
2,Payment,1710603304.690989,1847,0,1
2,Payment,1710603304.692851,1598,0,1
1,NewOrder,1710603304.694461,4526,0,1
1,NewOrder,1710603304.699036,4783,0,1
1,NewOrder,1710603304.703837,6606,0,1
2,Payment,1710603304.710463,1469,0,1
2,Payment,1710603304.711947,1251,0,1
1,NewOrder,1710603304.713212,3889,0,1
2,Payment,1710603304.717147,1306,0,1
1,NewOrder,1710603304.718466,2182,0,1
1,NewOrder,1710603304.720663,2690,0,1
1,NewOrder,1710603304.723369,5080,0,1
1,NewOrder,1710603304.728465,4212,0,1
1,NewOrder,1710603304.732694,5220,0,1
2,Payment,1710603304.737931,2040,0,1
2,Payment,1710603304.739984,4507,0,1
2,Payment,1710603304.744510,1537,0,1
1,NewOrder,1710603304.746061,4825,0,1
2,Payment,1710603304.750902,1448,0,1
5,StockLevel,1710603304.752363,1634,0,1
4,Delivery,1710603304.754010,14484,0,1
2,Payment,1710603304.768514,1554,0,1
4,Delivery,1710603304.770082,13537,0,1
2,Payment,1710603304.783639,1537,0,1
2,Payment,1710603304.785193,1366,0,1
2,Payment,1710603304.786570,1397,0,1
2,Payment,1710603304.787979,1272,0,1
2,Payment,1710603304.789261,1389,0,1
1,NewOrder,1710603304.790661,4564,0,1
5,StockLevel,1710603304.795243,1435,0,1
1,NewOrder,1710603304.796692,5692,0,1
