Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,196,196.000,1230,2101,3635,5094,6633,11250,14229,21243,22876
1,357,357.000,411,977,1840,2765,3311,6501,7275,14208,21417
2,427,427.000,344,918,1892,2331,2977,4455,5943,10109,16332
3,274,274.000,657,1455,2394,3639,5180,6915,8206,15361,26761
4,395,395.000,302,797,1782,2518,2877,5887,7089,12888,16657
5,442,442.000,323,768,1663,2260,2895,4977,5918,11718,13632
6,422,422.000,278,775,1768,2356,3085,5152,5927,11511,12694
7,434,434.000,307,771,1656,2296,2879,5378,6580,8800,12693
8,488,488.000,276,748,1663,2044,2656,3979,5807,8004,13097
9,559,559.000,297,682,1335,1779,2471,3255,5519,6477,12450
10,503,503.000,275,721,1489,1983,2588,3929,5681,9504,16472
11,599,599.000,250,667,1265,1660,2409,3008,3684,6759,10547
12,479,479.000,279,805,1658,2074,2903,3785,5236,7703,11799
13,363,363.000,306,1197,1656,2738,3778,5618,6384,12616,26659
14,264,264.000,558,1459,3359,3787,5495,7105,8592,13769,14949
15,516,516.000,285,727,1522,1913,2631,3378,5549,6837,13156
16,483,483.000,293,727,1543,2068,2591,4683,5917,12154,17841
17,443,443.000,224,753,1512,2247,2937,5067,6090,9684,12845
18,336,336.000,318,1327,1886,2968,4051,6099,8021,14556,15644
19,532,532.000,234,715,1571,1874,2516,3220,5628,6728,13273
20,511,511.000,273,708,1496,1955,2552,3844,5654,8863,13426
21,537,537.000,249,662,1425,1855,2479,3653,5422,7455,14297
22,601,601.000,256,665,1470,1659,2326,2948,3645,6124,9108
23,631,631.000,247,648,963,1582,2396,2889,3201,5675,6745
24,481,481.000,239,694,1518,2070,2652,4866,5785,6595,12212
25,563,563.000,221,697,1372,1772,2464,3083,5334,8852,11851
26,540,540.000,263,716,1664,1846,2489,3142,5428,6926,12362
27,573,573.000,272,713,1529,1740,2483,3074,3372,5857,18780
28,586,586.000,225,700,1257,1702,2345,3077,3973,6187,11021
29,494,494.000,245,745,1633,2018,2649,4226,5628,8046,14222
30,423,423.000,258,726,1513,2371,2888,5510,6817,13493,19392
31,319,319.000,296,1358,1623,3121,4835,6430,7341,12462,16303
32,437,437.000,276,723,1688,2275,3077,5475,5829,8142,10382
33,370,370.000,233,797,1666,2695,3456,6085,7231,15730,20019
34,455,455.000,212,675,1528,2195,2739,5429,6233,13156,22707
35,577,577.000,229,707,1684,1728,2514,2991,3176,5649,5888
36,569,569.000,231,693,1043,1755,2391,3157,5547,6193,13498
37,531,531.000,241,671,1576,1873,2499,3155,5416,6729,13770
38,593,593.000,228,657,1331,1681,2380,2947,5328,6457,11362
39,492,492.000,248,686,1488,2029,2667,4631,5745,8752,15693
40,538,538.000,245,693,1611,1860,2471,3211,5558,7134,10141
41,636,636.000,231,684,988,1562,2238,2965,3182,5604,6524
42,454,454.000,253,822,1719,2200,2922,4388,5509,10956,11881
43,573,573.000,263,676,1319,1735,2436,3113,4332,6010,13193
44,317,317.000,295,1346,2002,3147,4486,6327,7150,13497,13849
45,339,339.000,265,781,1969,2944,3250,6798,8935,16123,17882
46,588,588.000,226,691,1397,1695,2460,3085,5321,5794,6696
47,617,617.000,235,692,1093,1615,2330,2992,3644,5708,6918
48,392,392.000,244,785,1569,2551,3389,5611,6509,12115,13348
49,516,516.000,257,717,1500,1927,2529,4058,5598,6383,13070
50,378,378.000,253,1084,1820,2645,3537,5685,6754,13115,14624
51,561,561.000,222,704,953,1775,2483,3161,5707,7781,15284
52,508,508.000,268,737,1541,1963,2629,3572,5268,10006,20163
53,474,474.000,236,732,1571,2101,2706,5190,5917,8814,13665
54,484,484.000,246,739,1541,2064,2795,4108,5853,7417,19172
55,521,521.000,270,728,1273,1912,2597,3502,5704,7315,13121
56,388,388.000,316,807,1667,2571,3160,5719,6456,11677,16345
57,498,498.000,300,683,1677,2005,2521,3785,5621,12246,13707
58,401,401.000,310,992,1627,2485,3298,5525,6392,9741,12998
59,321,321.000,283,1301,1662,3104,4485,5700,9920,12633,18569
