Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,338.600,2.939,0.353,1.011,1.964,3.502,6.335,7.971,14.831,20.188,0.340
5,498.000,2.001,0.296,0.749,1.508,2.645,4.133,5.711,7.916,13.847,0.500
10,443.200,2.244,0.279,0.772,1.614,2.860,5.332,6.097,11.337,24.040,0.446
15,423.800,2.349,0.284,0.740,1.652,2.988,5.350,6.055,11.649,14.108,0.426
20,490.600,2.033,0.276,0.713,1.523,2.596,4.333,5.695,11.504,13.796,0.492
25,426.200,2.341,0.274,0.759,1.613,2.968,5.364,6.155,11.605,15.587,0.427
30,417.600,2.391,0.263,0.762,1.565,2.961,5.557,6.603,12.742,18.345,0.418
35,416.000,2.395,0.269,0.752,1.629,3.066,5.469,6.301,11.942,14.792,0.418
40,460.400,2.169,0.267,0.691,1.565,2.762,5.053,5.873,11.727,17.625,0.461
45,460.600,2.168,0.248,0.713,1.563,2.796,4.986,5.823,9.786,14.330,0.461
50,403.600,2.467,0.272,0.883,1.712,3.214,5.505,6.556,10.235,15.435,0.405
55,472.200,2.110,0.272,0.706,1.541,2.772,4.790,5.693,11.087,17.186,0.474
