Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,98.200,2.323,0.728,1.037,1.497,2.630,4.291,6.145,13.194,23.831,0.431
5,204.600,0.942,0.603,0.720,0.806,1.038,1.452,1.604,2.010,3.314,1.062
10,190.200,0.964,0.592,0.700,0.778,1.037,1.534,1.723,2.374,10.513,1.037
15,177.400,1.008,0.583,0.690,0.771,1.300,1.557,1.734,2.556,9.304,0.992
20,166.800,0.999,0.576,0.697,0.779,1.287,1.607,1.831,2.356,8.920,1.001
25,180.800,0.920,0.584,0.684,0.733,0.941,1.587,1.788,2.483,3.967,1.087
30,216.200,0.929,0.607,0.692,0.742,0.842,1.193,1.510,3.741,31.884,1.077
35,166.600,1.049,0.593,0.698,0.775,1.039,1.684,2.290,3.895,12.953,0.953
40,174.000,0.947,0.570,0.657,0.711,1.230,1.467,1.582,2.040,10.627,1.056
45,228.600,0.833,0.567,0.675,0.717,0.793,1.039,1.488,2.143,12.671,1.201
50,228.400,0.765,0.583,0.673,0.713,0.775,0.883,1.141,1.679,2.036,1.307
55,236.000,0.821,0.585,0.657,0.701,0.777,1.391,1.524,1.873,4.658,1.217
