Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,191.400,3.228,1.052,2.237,2.828,3.705,5.440,6.301,8.038,16.902,0.310
5,184.000,3.384,1.265,2.203,2.967,4.351,5.599,6.170,7.486,14.369,0.296
10,195.600,3.241,1.009,2.068,2.746,4.099,5.656,6.336,7.683,9.885,0.309
15,165.400,3.971,1.157,2.384,3.643,5.395,6.521,7.207,8.103,12.920,0.252
20,150.600,4.299,1.454,2.732,4.262,5.733,6.638,7.354,8.133,8.928,0.233
25,194.000,3.413,1.165,2.122,2.913,4.430,6.071,6.628,8.161,11.844,0.293
30,125.600,5.011,1.185,2.904,4.388,6.396,8.479,10.158,14.494,29.814,0.200
35,172.600,3.770,1.396,2.305,3.089,4.752,6.531,7.427,11.133,17.238,0.265
40,165.200,3.921,1.042,2.410,3.451,5.232,6.584,7.174,8.331,12.204,0.255
45,140.800,4.715,1.369,2.715,4.773,6.319,7.584,8.043,9.164,15.618,0.212
50,173.400,3.661,1.000,2.304,3.026,4.767,6.457,7.387,8.523,10.490,0.273
55,191.000,3.444,1.435,2.097,2.761,4.604,6.183,7.022,7.995,9.424,0.290
