Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,73.800,2.640,1.140,1.409,2.473,3.014,3.764,5.939,11.061,25.696,0.379
5,123.400,1.640,0.980,1.192,1.355,2.038,2.384,2.727,3.442,6.042,0.610
10,114.000,1.617,0.954,1.121,1.259,1.711,2.627,3.193,5.602,15.144,0.618
15,109.400,1.722,0.968,1.167,1.405,2.110,2.510,2.837,4.327,18.863,0.581
20,118.400,1.661,0.914,1.112,1.315,2.011,2.386,2.779,4.356,15.435,0.602
25,142.000,1.332,0.915,1.070,1.139,1.283,2.018,2.362,3.524,10.382,0.751
30,138.400,1.485,0.896,1.074,1.167,1.469,2.622,2.974,4.291,7.003,0.674
35,123.600,1.423,0.906,1.046,1.135,1.566,2.281,2.613,3.866,7.179,0.703
40,103.600,1.873,0.977,1.158,1.396,2.351,3.128,3.932,5.272,7.707,0.534
45,114.600,1.562,0.902,1.056,1.159,1.605,2.669,3.433,4.939,13.007,0.640
50,129.600,1.455,0.889,1.042,1.116,1.293,2.046,2.301,3.222,90.706,0.688
55,152.600,1.253,0.876,0.998,1.063,1.194,1.999,2.337,2.922,3.506,0.798
