Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,124.000,5.094,1.611,3.274,4.285,5.958,8.706,9.835,18.422,30.345,0.196
5,171.800,3.930,1.205,2.739,3.429,4.422,6.774,7.950,9.201,11.725,0.254
10,193.800,3.546,1.555,2.643,3.321,4.059,4.869,5.540,9.773,11.671,0.282
15,159.800,4.230,1.824,2.964,3.819,4.844,6.729,8.810,11.305,14.401,0.236
20,161.000,4.011,1.261,3.022,3.725,4.566,5.474,7.041,9.940,17.469,0.249
25,167.800,3.914,1.779,2.839,3.670,4.511,5.364,7.080,9.766,20.009,0.256
30,191.800,3.514,1.201,2.602,3.192,3.827,4.979,6.612,9.755,14.996,0.285
35,174.400,3.724,1.596,2.520,3.209,3.925,6.381,8.119,10.293,13.405,0.269
40,194.600,3.242,1.301,2.518,3.126,3.731,4.123,4.553,8.957,10.370,0.308
45,204.200,3.196,1.339,2.418,2.991,3.618,4.049,5.226,8.761,10.131,0.313
50,214.000,3.088,1.112,2.324,2.944,3.522,3.974,5.035,8.113,9.398,0.324
55,212.200,3.084,1.245,2.312,2.877,3.428,3.947,5.547,8.418,10.772,0.324
