Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.000,1.212,0.346,0.463,0.654,1.683,2.729,3.264,5.671,5.671,0.825
5,13.000,0.957,0.324,0.575,0.758,0.811,0.990,2.422,11.082,11.082,1.045
10,12.600,0.727,0.297,0.398,0.709,0.864,0.956,1.049,4.608,4.608,1.376
15,14.600,0.830,0.289,0.357,0.552,0.785,1.068,2.720,10.563,10.563,1.205
20,13.000,0.554,0.310,0.376,0.449,0.735,0.812,0.869,0.912,0.912,1.806
25,13.200,0.736,0.338,0.455,0.768,0.850,0.910,0.931,2.793,2.793,1.358
30,12.600,0.680,0.322,0.607,0.722,0.801,0.856,0.913,0.941,0.941,1.470
35,15.400,0.575,0.298,0.328,0.422,0.700,0.828,0.902,4.374,4.374,1.739
40,13.200,0.599,0.278,0.345,0.649,0.750,0.801,0.824,2.042,2.042,1.669
45,17.400,0.527,0.272,0.335,0.425,0.729,0.811,0.825,0.980,0.980,1.898
50,17.800,0.426,0.268,0.329,0.359,0.488,0.687,0.741,0.970,0.970,2.345
55,15.200,0.600,0.262,0.328,0.386,0.715,0.806,0.838,9.120,9.120,1.666
