Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,194.600,5.121,0.446,1.948,3.413,6.884,10.098,13.862,24.596,96.351,0.195
5,299.800,3.315,0.449,1.171,2.469,4.127,7.605,9.154,16.281,31.817,0.302
10,384.600,2.585,0.429,0.988,2.033,3.515,4.701,7.756,9.989,19.115,0.387
15,321.200,3.101,0.388,1.062,2.141,3.973,7.416,8.606,15.440,20.440,0.323
20,391.400,2.539,0.336,0.892,1.965,3.274,5.416,7.186,10.814,17.940,0.394
25,466.400,2.140,0.319,0.832,1.764,3.016,3.753,6.428,8.236,15.035,0.467
30,474.600,2.101,0.299,0.774,1.775,2.868,3.650,6.164,7.906,16.568,0.476
35,474.600,2.100,0.278,0.772,1.641,2.802,3.914,6.296,8.181,20.582,0.476
40,479.600,2.079,0.297,0.750,1.712,2.725,3.554,5.954,8.547,20.082,0.481
45,529.400,1.884,0.283,0.720,1.509,2.617,3.329,5.512,6.698,17.821,0.531
50,547.200,1.824,0.256,0.688,1.509,2.524,3.252,5.472,6.259,14.406,0.548
55,575.600,1.730,0.261,0.665,1.483,2.436,3.094,5.266,6.104,13.153,0.578
