Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,209,209.000,1314,1668,3679,4761,5805,10207,12187,19720,27181
1,161,161.000,1379,2770,3643,6186,9487,11805,13654,22009,23520
2,275,275.000,793,1435,3280,3617,4945,6285,9379,12567,16097
3,362,362.000,520,1235,1694,2756,3971,5118,7102,8657,9602
4,335,335.000,517,1137,2376,2993,4036,6751,8198,11027,16764
5,359,359.000,497,1162,2386,2751,4031,4819,5525,9073,10424
6,346,346.000,457,1126,2880,2889,3963,4845,7294,8231,16519
7,237,237.000,476,1286,2661,4185,5500,9500,12393,16425,16924
8,345,345.000,466,1166,2640,2892,3955,5009,7430,9246,16377
9,305,305.000,508,1160,2434,3267,4182,7374,8506,15827,16394
10,303,303.000,430,1091,2609,3282,4286,7367,8504,12730,19023
11,393,393.000,435,1075,2238,2531,3616,4778,5513,7905,8408
12,383,383.000,443,1109,1905,2606,3916,4722,5214,8105,9692
13,370,370.000,457,1127,2324,2683,3940,4859,5427,8896,14119
14,309,309.000,528,1090,2435,3225,4335,7193,8419,13001,22312
15,403,403.000,422,1081,1820,2477,3684,4606,5046,7597,7875
16,381,381.000,427,1085,1617,2610,3860,4815,7175,8448,10508
17,363,363.000,381,1054,2272,2745,4013,4930,7278,9511,15671
18,379,379.000,414,1084,2371,2623,3852,4684,5351,8714,15225
19,398,398.000,391,1064,2416,2500,3608,4628,5278,7364,7706
20,362,362.000,385,1067,2312,2753,3882,4931,7218,9496,20375
21,310,310.000,413,1146,2646,3218,4267,6869,8140,12279,16965
22,403,403.000,366,1061,1953,2474,3757,4468,5021,7359,7535
23,390,390.000,383,1057,2361,2545,3730,4525,6645,7706,10545
24,364,364.000,367,1068,2193,2730,3799,4953,7219,9933,14032
25,407,407.000,364,1030,1935,2445,3611,4625,5407,7341,7667
26,375,375.000,403,1048,2358,2659,3798,4844,7152,8310,10774
27,400,400.000,413,1043,1459,2492,3887,4803,5129,7509,8319
28,321,321.000,335,1110,2318,3111,4027,6999,9190,16234,19913
29,383,383.000,365,1059,1560,2607,3936,4901,7085,8133,8753
30,391,391.000,389,1044,1600,2545,3770,4755,7180,7652,8031
31,376,376.000,403,1039,2386,2655,3790,4842,6987,8366,11965
32,407,407.000,373,1028,1550,2448,3766,4696,5107,7445,9075
33,377,377.000,378,1061,2258,2643,3773,4745,7296,8937,11623
34,406,406.000,373,1039,1795,2501,3525,4650,5093,7699,21780
35,401,401.000,327,1074,1570,2439,3760,4609,4996,7515,8230
36,395,395.000,363,1033,1625,2520,3782,4659,7108,7570,8513
37,378,378.000,371,1055,2460,2653,3788,4672,6865,9283,12152
38,378,378.000,376,1069,1924,2640,3780,4880,7168,9491,18629
39,327,327.000,394,1128,2721,3035,4043,5230,7516,11744,18569
40,396,396.000,376,1030,2307,2524,3776,4750,6968,7453,7717
41,400,400.000,378,1036,1563,2478,3795,4720,5058,7887,15387
42,400,400.000,383,1081,1357,2499,3775,4789,6999,7833,12101
43,170,170.000,736,2130,2767,5871,8960,12499,18416,19999,25406
44,201,201.000,734,1941,4636,4964,7606,9667,10547,14229,19859
45,352,352.000,390,1105,2053,2828,3907,5571,7507,10399,15756
46,325,325.000,370,1105,2342,3070,3996,6766,8018,11461,17500
47,373,373.000,345,1029,2530,2670,3674,4580,6788,11235,17212
48,303,303.000,380,1135,2574,3291,4344,7110,8260,11187,18198
49,306,306.000,381,1130,2183,3264,4405,7299,9210,15442,19601
50,328,328.000,348,1089,2132,3033,4053,6819,8053,10544,16635
51,388,388.000,370,1097,1811,2567,3792,4660,5532,7566,9062
52,232,232.000,348,1462,3037,4314,5567,8978,11469,20479,23376
53,321,321.000,350,1060,2431,3096,4148,6822,8996,12110,17801
54,365,365.000,327,1017,2065,2732,3882,5759,7048,9530,16086
55,309,309.000,361,1091,2469,3247,4539,6991,8413,15806,16794
56,362,362.000,395,1057,2435,2736,3711,4876,7080,10105,19034
57,376,376.000,370,1019,2338,2654,3960,4812,7016,7557,8707
58,341,341.000,335,1047,2267,2929,3740,5823,7405,17156,20878
59,321,321.000,376,1079,2660,3054,3946,5183,7348,15995,18485
