Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.400,1.746,1.043,1.330,1.514,1.880,2.484,2.933,6.112,6.112,0.573
5,17.000,1.501,1.041,1.305,1.449,1.596,1.807,2.008,2.814,2.814,0.666
10,15.800,1.546,1.096,1.341,1.482,1.629,1.912,2.365,3.315,3.315,0.647
15,17.400,1.511,0.987,1.335,1.479,1.659,1.764,1.906,3.071,3.071,0.662
20,16.400,1.521,1.093,1.374,1.473,1.663,1.824,1.899,2.130,2.130,0.658
25,18.000,1.545,1.130,1.341,1.525,1.619,1.800,2.117,2.867,2.867,0.647
30,18.200,1.675,1.039,1.348,1.532,1.776,2.286,2.876,6.163,6.163,0.597
35,19.600,1.540,1.023,1.297,1.475,1.650,1.960,2.561,2.860,2.860,0.649
40,18.800,1.545,0.985,1.324,1.436,1.650,1.994,2.483,2.724,2.724,0.647
45,13.800,1.620,0.940,1.365,1.553,1.709,2.160,2.616,3.642,3.642,0.617
50,17.000,1.450,1.053,1.294,1.393,1.555,1.792,1.902,2.333,2.333,0.690
55,14.400,1.466,1.063,1.358,1.475,1.585,1.701,1.736,1.931,1.931,0.682
