Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.200,1.917,0.472,0.609,0.908,1.728,3.883,6.872,23.484,23.484,0.522
5,14.000,0.873,0.390,0.487,0.550,0.605,1.284,3.792,8.558,8.558,1.145
10,11.200,1.408,0.396,0.495,0.892,1.163,1.327,8.950,10.955,10.955,0.710
15,12.600,0.730,0.394,0.463,0.526,0.884,1.010,1.488,4.848,4.848,1.370
20,14.000,0.543,0.348,0.413,0.459,0.581,0.868,1.010,1.142,1.142,1.842
25,16.200,0.514,0.364,0.420,0.459,0.507,0.639,0.795,1.329,1.329,1.946
30,13.000,0.835,0.390,0.425,0.453,0.642,1.072,1.216,9.455,9.455,1.197
35,12.800,0.593,0.367,0.421,0.458,0.795,0.942,0.999,1.471,1.471,1.685
40,10.800,0.603,0.374,0.420,0.483,0.800,0.937,0.982,1.401,1.401,1.659
45,14.200,0.516,0.355,0.399,0.428,0.533,0.881,0.977,1.008,1.008,1.937
50,14.200,0.468,0.331,0.395,0.422,0.462,0.550,0.878,1.319,1.319,2.137
55,10.400,0.592,0.377,0.411,0.447,0.820,1.022,1.079,1.201,1.201,1.689
