Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.600,14.129,8.094,8.324,10.702,19.482,22.480,25.007,46.983,46.983,0.071
5,11.600,11.232,7.140,7.583,8.003,16.896,19.121,20.242,32.003,32.003,0.089
10,12.000,12.270,7.226,7.840,10.288,16.285,18.110,20.213,21.738,21.738,0.082
15,11.800,9.286,7.017,7.485,7.663,8.024,16.536,19.047,23.104,23.104,0.108
20,9.000,11.679,6.828,7.282,7.732,15.995,18.639,19.671,24.414,24.414,0.086
25,15.200,9.469,6.912,7.217,7.486,8.047,16.338,17.403,19.471,19.471,0.106
30,8.000,12.182,6.978,7.462,15.581,16.438,17.170,18.656,18.967,18.967,0.082
35,12.400,9.419,7.047,7.442,7.982,8.851,16.060,19.500,25.539,25.539,0.106
40,10.200,13.421,7.019,7.769,15.889,18.137,19.594,22.499,25.353,25.353,0.075
45,11.200,12.391,6.798,7.587,14.222,16.573,18.504,20.360,21.482,21.482,0.081
50,8.000,9.499,6.945,7.225,7.518,8.269,16.823,18.227,25.048,25.048,0.105
55,9.400,12.401,6.885,7.324,15.583,16.356,17.254,18.123,18.578,18.578,0.081
