Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,112.400,1.992,1.065,1.320,1.583,2.392,2.863,3.303,8.764,15.438,0.502
5,128.600,1.493,0.918,1.078,1.168,1.549,2.394,2.669,5.214,10.959,0.670
10,134.600,1.352,0.913,1.032,1.107,1.507,2.085,2.245,2.552,13.404,0.740
15,137.600,1.317,0.893,1.060,1.126,1.289,1.989,2.316,2.757,6.731,0.759
20,144.400,1.206,0.889,1.005,1.056,1.153,1.593,2.168,2.615,11.094,0.829
25,157.200,1.191,0.866,1.000,1.059,1.155,1.764,2.027,2.764,7.283,0.840
30,139.400,1.280,0.884,1.018,1.085,1.307,2.001,2.184,2.445,4.076,0.781
35,143.400,1.298,0.861,1.004,1.073,1.240,2.087,2.349,2.650,8.551,0.771
40,112.200,1.546,0.887,1.041,1.181,2.034,2.359,2.602,3.190,9.291,0.647
45,146.600,1.272,0.884,1.013,1.084,1.232,1.995,2.205,2.734,6.911,0.786
50,160.400,1.190,0.877,1.014,1.083,1.178,1.365,1.747,2.774,14.236,0.841
55,179.000,1.104,0.851,0.974,1.026,1.106,1.249,1.888,2.227,2.639,0.905
