Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1708383903.493035,4683,0,1
2,Payment,1708383903.497746,1482,0,1
1,NewOrder,1708383903.499248,6102,0,1
2,Payment,1708383903.505378,1450,0,1
2,Payment,1708383903.506850,1399,0,1
1,NewOrder,1708383903.508266,3833,0,1
5,StockLevel,1708383903.512131,2003,0,1
2,Payment,1708383903.514325,1533,0,1
1,NewOrder,1708383903.515878,6018,0,1
1,NewOrder,1708383903.521926,4253,0,1
1,NewOrder,1708383903.526208,6091,0,1
2,Payment,1708383903.532330,1676,0,1
2,Payment,1708383903.534029,1374,0,1
1,NewOrder,1708383903.535423,5956,0,1
2,Payment,1708383903.541408,1648,0,1
1,NewOrder,1708383903.543082,5577,0,1
2,Payment,1708383903.548688,1436,0,1
1,NewOrder,1708383903.550144,4240,0,1
3,OrderStatus,1708383903.554409,1212,0,1
2,Payment,1708383903.555641,1523,0,1
2,Payment,1708383903.557183,1335,0,1
1,NewOrder,1708383903.558536,4970,0,1
1,NewOrder,1708383903.563534,6384,0,1
2,Payment,1708383903.569947,1606,0,1
2,Payment,1708383903.571576,1980,0,1
1,NewOrder,1708383903.573579,6327,0,1
2,Payment,1708383903.579937,1748,0,1
1,NewOrder,1708383903.581707,3905,0,1
2,Payment,1708383903.585645,1579,0,1
1,NewOrder,1708383903.587245,3729,0,1
2,Payment,1708383903.591000,1551,0,1
2,Payment,1708383903.592575,1475,0,1
1,NewOrder,1708383903.594076,4395,0,1
2,Payment,1708383903.598495,1576,0,1
1,NewOrder,1708383903.600091,6621,0,1
1,NewOrder,1708383903.606742,4666,0,1
1,NewOrder,1708383903.611440,5636,0,1
2,Payment,1708383903.617103,1925,0,1
1,NewOrder,1708383903.619048,4205,0,1
1,NewOrder,1708383903.623278,4744,0,1
3,OrderStatus,1708383903.628052,1336,0,1
1,NewOrder,1708383903.629409,4804,0,1
1,NewOrder,1708383903.634235,8929,0,1
2,Payment,1708383903.643193,4522,0,1
2,Payment,1708383903.647819,2853,0,1
2,Payment,1708383903.650693,3657,0,1
1,NewOrder,1708383903.654371,7778,0,1
