Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.600,11.357,6.525,7.295,8.547,15.441,18.155,19.680,29.825,29.825,0.088
5,13.800,9.531,6.176,6.621,7.457,12.254,14.908,16.812,27.230,27.230,0.105
10,17.400,8.195,6.102,6.543,6.909,8.621,13.005,13.989,16.159,16.159,0.122
15,20.800,9.145,6.236,6.508,6.887,12.054,14.994,15.422,18.636,32.449,0.109
20,15.600,8.705,6.145,6.512,6.749,10.204,14.491,14.703,15.791,15.791,0.115
25,12.200,9.098,6.263,6.551,6.890,11.076,14.221,16.604,29.228,29.228,0.110
30,15.800,9.651,5.531,6.755,7.497,11.938,15.312,17.671,43.220,43.220,0.104
35,17.800,7.212,4.479,4.820,5.406,10.691,12.095,13.310,14.627,14.627,0.139
40,16.200,6.918,4.552,5.007,5.450,6.893,11.910,13.238,15.661,15.661,0.145
45,16.800,7.160,4.486,4.915,5.618,7.598,13.066,14.800,19.265,19.265,0.140
50,11.600,10.009,4.548,5.643,8.835,12.647,15.664,22.373,25.537,25.537,0.100
55,11.800,8.103,4.591,5.067,5.815,11.834,14.830,16.385,18.840,18.840,0.123
