Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.400,1.562,0.995,1.190,1.406,1.652,2.112,2.937,6.970,6.970,0.640
5,18.400,1.357,0.960,1.160,1.313,1.485,1.685,2.008,2.451,2.451,0.737
10,21.000,1.311,0.873,1.181,1.282,1.380,1.486,1.766,2.148,2.529,0.763
15,19.200,1.297,0.766,1.184,1.280,1.405,1.508,1.591,2.164,2.164,0.771
20,21.200,1.340,0.837,1.168,1.324,1.421,1.544,1.769,1.917,3.942,0.746
25,20.200,1.366,0.910,1.156,1.307,1.451,1.590,2.034,2.800,2.846,0.732
30,20.000,1.299,0.945,1.179,1.299,1.395,1.553,1.703,2.281,2.281,0.770
35,22.800,1.309,0.849,1.198,1.296,1.404,1.528,1.644,1.755,2.226,0.764
40,21.200,1.347,0.972,1.206,1.322,1.470,1.572,1.623,2.177,2.842,0.742
45,20.200,1.395,0.887,1.174,1.311,1.533,1.762,2.068,2.505,2.684,0.717
50,24.800,1.305,0.857,1.124,1.259,1.423,1.553,1.818,1.994,2.861,0.766
55,22.800,1.289,0.726,1.161,1.277,1.363,1.500,1.603,2.316,2.385,0.776
