Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,82.800,7.966,2.320,4.227,6.818,10.042,12.600,15.420,22.152,153.808,0.126
5,105.200,6.118,1.575,3.704,4.872,8.225,10.846,12.591,17.150,19.066,0.163
10,109.800,6.268,1.855,3.836,5.043,7.813,10.932,12.790,17.995,24.574,0.160
15,107.000,6.323,2.304,3.956,5.380,8.158,10.273,11.657,16.077,65.650,0.158
20,106.200,5.998,1.638,3.773,4.842,7.632,10.376,11.885,17.149,21.966,0.167
25,103.200,6.316,1.449,3.806,5.093,8.551,10.986,12.310,18.092,23.152,0.158
30,98.800,6.469,1.877,3.754,5.143,8.800,11.484,13.249,16.538,22.519,0.155
35,103.000,6.486,1.447,3.972,5.816,8.342,9.943,11.527,13.605,118.023,0.154
40,122.600,5.506,1.576,3.529,4.596,6.319,9.538,11.497,16.770,29.724,0.182
45,120.400,5.415,2.176,3.408,4.656,6.970,9.152,10.164,12.676,19.399,0.185
50,107.600,6.011,1.660,3.851,5.322,8.001,9.638,10.222,13.129,32.586,0.166
55,116.600,5.672,1.684,3.819,5.032,7.422,9.291,9.789,11.556,14.313,0.176
