Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.200,2.783,0.981,1.449,2.157,3.588,4.368,8.770,11.349,11.349,0.359
5,11.800,1.389,0.412,0.524,0.994,1.365,2.659,5.249,10.810,10.810,0.720
10,10.000,0.842,0.411,0.528,0.574,1.033,1.342,1.584,4.553,4.553,1.187
15,10.200,1.098,0.445,0.524,0.903,1.112,1.295,1.722,11.327,11.327,0.911
20,11.600,1.170,0.348,0.489,0.799,1.058,1.797,3.104,16.294,16.294,0.855
25,7.200,1.102,0.416,0.498,0.874,1.055,2.084,4.076,5.838,5.838,0.907
30,10.000,0.809,0.385,0.460,0.853,0.974,1.381,1.409,2.053,2.053,1.236
35,9.400,0.896,0.362,0.504,0.945,1.072,1.182,1.370,3.032,3.032,1.117
40,6.200,0.877,0.409,0.490,0.897,1.087,1.254,1.289,2.354,2.354,1.141
45,13.800,0.726,0.325,0.439,0.518,0.944,1.036,1.092,4.485,4.485,1.378
50,11.000,0.722,0.376,0.442,0.778,0.915,1.006,1.062,1.218,1.218,1.386
55,12.600,0.926,0.372,0.439,0.843,1.102,1.241,1.331,6.687,6.687,1.080
