Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,149.200,1.315,0.638,0.830,1.084,1.571,1.796,1.986,4.224,32.307,0.761
5,147.600,1.274,0.631,0.791,1.383,1.562,1.779,1.821,2.028,7.910,0.785
10,138.200,1.328,0.635,0.775,1.406,1.700,1.800,1.887,2.686,12.141,0.753
15,154.200,1.168,0.600,0.715,0.894,1.600,1.785,1.869,2.313,10.929,0.856
20,189.400,1.062,0.660,0.784,0.871,1.117,1.597,1.788,2.912,8.153,0.941
25,163.400,1.141,0.659,0.762,0.831,1.674,1.858,1.966,2.350,6.178,0.876
30,121.800,1.364,0.659,0.810,1.511,1.789,1.931,2.083,2.558,3.803,0.733
35,149.400,1.210,0.674,0.792,0.915,1.732,1.873,1.985,2.241,3.540,0.827
40,124.600,1.349,0.647,0.791,1.372,1.761,1.897,2.026,3.585,14.936,0.741
45,152.600,1.189,0.651,0.758,1.002,1.629,1.806,1.878,2.145,2.637,0.841
50,165.400,1.034,0.665,0.775,0.846,1.173,1.669,1.813,2.001,6.227,0.968
55,166.200,1.064,0.645,0.732,0.809,1.488,1.706,1.792,1.972,2.272,0.940
