Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,225.400,4.414,0.439,1.483,3.274,5.282,8.970,11.365,22.793,43.563,0.227
5,308.800,3.223,0.425,1.184,2.498,4.107,7.126,8.797,16.546,20.149,0.310
10,390.400,2.552,0.417,1.067,1.577,3.693,4.675,7.061,9.299,17.898,0.392
15,285.800,3.475,0.388,1.183,2.560,4.530,7.723,9.409,15.738,19.806,0.288
20,243.200,4.095,0.388,1.377,3.037,5.143,8.442,10.554,18.518,48.636,0.244
25,313.200,3.178,0.337,1.115,2.408,4.026,6.865,8.678,14.578,111.300,0.315
30,391.800,2.542,0.356,1.036,1.824,3.675,4.642,6.885,9.391,19.902,0.393
35,331.800,3.005,0.327,1.094,2.308,4.081,6.722,7.977,11.276,21.545,0.333
40,377.400,2.641,0.318,1.065,1.539,3.666,4.807,7.234,9.956,26.972,0.379
45,285.600,3.491,0.360,1.216,2.655,4.494,7.505,9.125,16.473,25.750,0.286
50,293.400,3.395,0.367,1.182,2.329,4.691,7.481,9.305,12.842,38.936,0.295
55,308.400,3.228,0.357,1.124,2.498,4.308,6.380,8.456,15.780,43.936,0.310
