Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1708392321.018199,13772,0,1
2,Payment,1708392321.032159,8379,0,1
2,Payment,1708392321.043441,2936,0,1
1,NewOrder,1708392321.046398,10997,0,1
2,Payment,1708392321.057442,3625,0,1
2,Payment,1708392321.061088,11792,0,1
2,Payment,1708392321.072901,2297,0,1
1,NewOrder,1708392321.075220,6591,0,1
2,Payment,1708392321.081832,1860,0,1
2,Payment,1708392321.083711,2139,0,1
2,Payment,1708392321.085869,2261,0,1
1,NewOrder,1708392321.088149,4977,0,1
1,NewOrder,1708392321.093148,5038,0,1
1,NewOrder,1708392321.098208,5332,0,1
1,NewOrder,1708392321.103562,6932,0,1
1,NewOrder,1708392321.110520,6263,0,1
2,Payment,1708392321.116806,1795,0,1
2,Payment,1708392321.118619,1481,0,1
2,Payment,1708392321.120117,1620,0,1
1,NewOrder,1708392321.121753,4695,0,1
2,Payment,1708392321.126472,2147,0,1
1,NewOrder,1708392321.128642,5398,0,1
2,Payment,1708392321.134062,1979,0,1
3,OrderStatus,1708392321.136063,5094,0,1
4,Delivery,1708392321.141178,16508,0,1
1,NewOrder,1708392321.157715,6585,0,1
1,NewOrder,1708392321.164324,3480,0,1
3,OrderStatus,1708392321.167830,1795,0,1
1,NewOrder,1708392321.169647,3205,0,1
2,Payment,1708392321.172875,1669,0,1
2,Payment,1708392321.174568,2602,0,1
1,NewOrder,1708392321.177197,5765,0,1
1,NewOrder,1708392321.182988,3581,0,1
1,NewOrder,1708392321.186590,5820,0,1
1,NewOrder,1708392321.192437,3718,0,1
1,NewOrder,1708392321.196177,4041,0,1
2,Payment,1708392321.200240,1451,0,1
1,NewOrder,1708392321.201711,4715,0,1
1,NewOrder,1708392321.206448,3200,0,1
2,Payment,1708392321.209674,1687,0,1
2,Payment,1708392321.211387,1528,0,1
1,NewOrder,1708392321.212933,6011,0,1
2,Payment,1708392321.218976,2159,0,1
2,Payment,1708392321.221161,1621,0,1
1,NewOrder,1708392321.222802,5251,0,1
1,NewOrder,1708392321.228120,4311,0,1
1,NewOrder,1708392321.232457,4470,0,1
2,Payment,1708392321.236949,1435,0,1
2,Payment,1708392321.238404,1925,0,1
1,NewOrder,1708392321.240348,3120,0,1
2,Payment,1708392321.243491,1458,0,1
1,NewOrder,1708392321.244974,3950,0,1
3,OrderStatus,1708392321.248946,1162,0,1
2,Payment,1708392321.250124,1248,0,1
1,NewOrder,1708392321.251387,4432,0,1
1,NewOrder,1708392321.255845,4292,0,1
2,Payment,1708392321.260164,1598,0,1
4,Delivery,1708392321.261782,9973,0,1
1,NewOrder,1708392321.271779,4712,0,1
1,NewOrder,1708392321.276516,3026,0,1
2,Payment,1708392321.279568,1387,0,1
1,NewOrder,1708392321.280973,3930,0,1
5,StockLevel,1708392321.284925,2374,0,1
3,OrderStatus,1708392321.287535,1524,0,1
2,Payment,1708392321.289078,1886,0,1
1,NewOrder,1708392321.291000,3598,0,1
5,StockLevel,1708392321.294622,1811,0,1
5,StockLevel,1708392321.296455,18006,0,1
2,Payment,1708392321.314487,1856,0,1
2,Payment,1708392321.316366,1420,0,1
1,NewOrder,1708392321.317812,3057,0,1
2,Payment,1708392321.320891,1419,0,1
2,Payment,1708392321.322330,1411,0,1
2,Payment,1708392321.323784,1909,0,1
1,NewOrder,1708392321.325732,4286,0,1
1,NewOrder,1708392321.330102,2590,0,1
4,Delivery,1708392321.332719,10469,0,1
2,Payment,1708392321.343214,2165,0,1
3,OrderStatus,1708392321.345409,1657,0,1
2,Payment,1708392321.347091,1525,0,1
2,Payment,1708392321.348648,1705,0,1
1,NewOrder,1708392321.350380,5157,0,1
4,Delivery,1708392321.355566,11967,0,1
2,Payment,1708392321.367562,1525,0,1
1,NewOrder,1708392321.369122,3216,0,1
2,Payment,1708392321.372367,2701,0,1
2,Payment,1708392321.375099,1569,0,1
1,NewOrder,1708392321.376695,3757,0,1
2,Payment,1708392321.380482,1643,0,1
2,Payment,1708392321.382158,1556,0,1
1,NewOrder,1708392321.383740,4476,0,1
4,Delivery,1708392321.388245,15744,0,1
1,NewOrder,1708392321.404021,4959,0,1
5,StockLevel,1708392321.409016,16561,0,1
2,Payment,1708392321.425606,1580,0,1
4,Delivery,1708392321.427212,12427,0,1
1,NewOrder,1708392321.439691,6218,0,1
1,NewOrder,1708392321.445958,4975,0,1
