Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,295,295.000,898,1502,2207,3355,4090,7075,8936,16986,21398
1,441,441.000,532,975,1890,2255,3117,3840,4797,7888,17025
2,389,389.000,356,907,1854,2564,3128,5532,6604,12561,14996
3,416,416.000,369,850,1768,2394,2928,5532,6567,13433,15845
4,485,485.000,336,834,1662,2051,2870,3592,5950,6987,9430
5,381,381.000,389,823,1798,2633,3138,5839,7214,13490,19327
6,363,363.000,363,915,2065,2720,3685,6101,6530,8226,15408
7,453,453.000,362,757,1599,2198,2719,5215,6345,12292,14876
8,520,520.000,365,732,1425,1917,2549,3587,6075,7121,13290
9,493,493.000,334,742,1679,2026,2727,3456,6144,7908,18340
10,428,428.000,347,821,1780,2322,3009,4560,6444,11071,12978
11,324,324.000,393,984,2168,3078,3527,7435,8342,15760,18346
12,294,294.000,390,1149,2054,3358,4369,7046,8283,15207,54520
13,224,224.000,707,1692,2409,4451,6404,8598,13446,16482,20143
14,361,361.000,356,939,2026,2764,3369,6484,7563,11073,14090
15,404,404.000,418,888,1964,2474,3159,4654,7010,8938,20692
16,284,284.000,388,1284,2485,3501,4793,7298,8781,17162,22662
17,330,330.000,357,918,2204,3019,3682,6808,8916,16597,22824
18,240,240.000,518,1801,2198,4113,6079,8523,10314,19677,31756
19,437,437.000,375,887,1821,2284,3072,4433,6881,8727,13705
20,424,424.000,369,879,1810,2340,3233,4273,6723,8013,11433
21,262,262.000,364,1243,2249,3835,5499,7767,9607,22288,36325
22,280,280.000,372,1607,2018,3524,5218,8507,9170,12642,15504
23,154,154.000,795,1815,4155,6477,8673,12443,16227,44549,85970
24,366,366.000,340,915,1880,2715,3298,5269,8085,16307,29389
25,397,397.000,353,890,1936,2502,3279,4731,7366,10036,14512
26,461,461.000,407,897,1387,2155,3113,3994,4591,8510,9488
27,304,304.000,381,1059,2336,3280,3954,7229,8496,15253,22349
28,451,451.000,371,876,1857,2210,3159,3861,4368,9191,15157
29,440,440.000,354,906,1901,2263,3240,3944,4841,8744,14845
30,348,348.000,372,938,2003,2877,3608,6111,8256,17074,26366
31,276,276.000,425,1299,2259,3598,4125,8385,9979,17017,18646
32,322,322.000,367,956,2107,3102,3893,7458,8904,15502,24443
33,302,302.000,403,971,2329,3301,3984,7383,9067,16618,21554
34,266,266.000,458,1483,2301,3776,5244,8624,10220,17585,21225
35,399,399.000,409,920,2054,2483,3296,4525,7207,11391,18848
36,362,362.000,381,899,2375,2760,3419,5710,7259,15620,18758
37,145,145.000,782,2140,5909,6970,9617,13380,19574,27307,44405
38,254,254.000,440,1417,2281,3861,5031,8264,11371,19128,19718
39,365,365.000,381,985,1976,2727,3736,5223,7617,12208,22174
40,250,250.000,394,1713,2398,3991,5371,8175,10425,18463,29837
41,354,354.000,441,952,2185,2817,3599,5498,7518,12929,18170
42,315,315.000,385,1062,2237,3177,4196,7345,8781,11831,16120
43,324,324.000,398,909,2216,3066,3696,6901,9312,16712,25236
44,313,313.000,412,954,2037,3188,3900,7550,9038,15706,16435
45,309,309.000,346,957,2364,3232,3939,7948,9500,13944,22572
46,401,401.000,372,886,1871,2492,3225,4352,7609,11405,17855
47,248,248.000,523,1391,3071,3992,4865,8077,10566,22954,33798
48,295,295.000,396,1083,2645,3374,4310,7301,8715,17733,18386
49,244,244.000,492,1273,3141,4084,4956,8852,11912,15544,31186
50,278,278.000,445,1082,2399,3605,4282,9154,11647,16917,26272
51,155,155.000,772,2192,5070,6395,8787,14513,16819,20095,20804
52,309,309.000,452,1136,2564,3222,4128,5773,7771,22220,29837
53,216,216.000,479,1890,3166,4617,6758,9713,11287,17100,21801
54,311,311.000,411,1111,2356,3220,4063,7806,8830,14407,18112
55,306,306.000,433,1166,2619,3239,4182,6841,8799,11055,19380
56,346,346.000,590,1085,2396,2884,3848,5109,7661,10605,19653
57,257,257.000,415,1195,2682,3892,4443,7944,10947,26199,34463
58,290,290.000,384,1084,2290,3425,4029,8082,10146,16579,23779
59,355,355.000,410,1017,2273,2791,3674,5096,7882,11321,19199
