Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.800,1.462,0.429,0.754,1.111,2.031,3.074,3.379,5.720,5.720,0.684
5,11.600,0.754,0.414,0.521,0.595,0.900,1.303,1.537,2.217,2.217,1.327
10,11.200,0.794,0.456,0.559,0.618,1.144,1.286,1.328,1.593,1.593,1.259
15,8.200,0.865,0.457,0.534,0.623,0.973,1.090,1.142,6.442,6.442,1.156
20,11.600,0.849,0.418,0.466,0.786,1.047,1.279,2.075,3.142,3.142,1.178
25,7.000,0.850,0.354,0.492,0.747,0.998,1.213,2.219,2.251,2.251,1.177
30,12.400,0.599,0.342,0.413,0.448,0.840,0.897,0.920,1.733,1.733,1.668
35,11.600,0.876,0.403,0.459,0.718,0.883,1.075,1.157,11.664,11.664,1.142
40,11.000,0.627,0.356,0.412,0.471,0.856,0.979,1.050,2.111,2.111,1.594
45,14.400,0.623,0.329,0.406,0.638,0.786,0.865,0.955,1.127,1.127,1.606
50,17.600,0.607,0.333,0.386,0.444,0.813,0.947,1.035,2.508,2.508,1.646
55,11.600,0.571,0.301,0.403,0.437,0.768,0.979,1.105,1.211,1.211,1.750
