Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,8.755,5.526,6.082,7.497,10.807,13.725,15.677,23.626,23.626,0.114
5,15.200,7.184,5.473,5.704,5.855,7.648,12.147,13.732,17.923,17.923,0.139
10,17.600,7.780,5.316,5.685,5.845,10.975,13.504,14.696,22.601,22.601,0.129
15,19.600,7.380,5.166,5.547,5.798,6.303,13.282,14.252,27.648,27.648,0.135
20,18.400,8.111,5.285,5.622,5.967,10.677,12.538,14.221,32.471,32.471,0.123
25,16.400,7.853,5.496,5.946,6.625,8.288,12.423,14.411,18.084,18.084,0.127
30,15.600,10.341,5.685,6.410,7.059,13.487,18.457,20.319,55.416,55.416,0.097
35,9.600,11.491,6.894,7.685,8.374,15.768,19.837,23.144,32.596,32.596,0.087
40,13.600,12.911,7.185,7.698,8.468,16.555,18.173,18.433,45.553,45.553,0.077
45,13.200,8.753,6.708,7.039,7.463,7.819,17.257,17.775,19.305,19.305,0.114
50,10.600,11.503,6.810,7.474,8.047,11.760,18.788,25.874,45.581,45.581,0.087
55,17.800,8.589,6.892,7.171,7.337,7.931,13.097,17.413,33.807,33.807,0.116
