Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1708382785.382917,32571,0,1
2,Payment,1708382785.415635,17630,0,1
2,Payment,1708382785.433291,2741,0,1
1,NewOrder,1708382785.436055,6901,0,1
2,Payment,1708382785.442980,3002,0,1
2,Payment,1708382785.446006,5071,0,1
2,Payment,1708382785.451105,4673,0,1
1,NewOrder,1708382785.455807,12683,0,1
2,Payment,1708382785.468519,3536,0,1
1,NewOrder,1708382785.472081,6994,0,1
1,NewOrder,1708382785.479104,14389,0,1
2,Payment,1708382785.493522,7755,0,1
2,Payment,1708382785.501304,4327,0,1
2,Payment,1708382785.505655,4092,0,1
2,Payment,1708382785.509773,5382,0,1
1,NewOrder,1708382785.515180,17582,0,1
2,Payment,1708382785.532868,3934,0,1
2,Payment,1708382785.536828,3187,0,1
2,Payment,1708382785.540039,4372,0,1
4,Delivery,1708382785.544442,79577,0,1
1,NewOrder,1708382785.624053,15911,0,1
2,Payment,1708382785.639997,5636,0,1
2,Payment,1708382785.645661,3898,0,1
3,OrderStatus,1708382785.649676,9355,0,1
2,Payment,1708382785.659058,9728,0,1
2,Payment,1708382785.668820,5669,0,1
1,NewOrder,1708382785.674521,15943,0,1
1,NewOrder,1708382785.690594,13153,0,1
1,NewOrder,1708382785.703772,8184,0,1
1,NewOrder,1708382785.712066,11076,0,1
1,NewOrder,1708382785.723172,11388,0,1
1,NewOrder,1708382785.734592,13288,0,1
2,Payment,1708382785.747913,3853,0,1
2,Payment,1708382785.751791,3238,0,1
1,NewOrder,1708382785.755053,11922,0,1
1,NewOrder,1708382785.767079,16872,0,1
2,Payment,1708382785.783981,5936,0,1
1,NewOrder,1708382785.789947,19518,0,1
1,NewOrder,1708382785.809619,19452,0,1
2,Payment,1708382785.829193,3630,0,1
5,StockLevel,1708382785.832854,6684,0,1
2,Payment,1708382785.839569,5949,0,1
1,NewOrder,1708382785.845856,14446,0,1
2,Payment,1708382785.860910,4775,0,1
4,Delivery,1708382785.865712,45873,0,1
2,Payment,1708382785.911620,5276,0,1
1,NewOrder,1708382785.916926,14768,0,1
2,Payment,1708382785.931722,3313,0,1
1,NewOrder,1708382785.935064,13426,0,1
5,StockLevel,1708382785.948519,2827,0,1
1,NewOrder,1708382785.951373,11873,0,1
1,NewOrder,1708382785.963356,14323,0,1
1,NewOrder,1708382785.977711,11538,0,1
1,NewOrder,1708382785.989355,11599,0,1
2,Payment,1708382786.000984,3680,0,1
1,NewOrder,1708382786.004690,19446,0,1
2,Payment,1708382786.024167,3423,0,1
2,Payment,1708382786.027616,9190,0,1
2,Payment,1708382786.036834,3413,0,1
2,Payment,1708382786.040399,2863,0,1
2,Payment,1708382786.043384,3895,0,1
2,Payment,1708382786.047305,3954,0,1
5,StockLevel,1708382786.051286,2813,0,1
1,NewOrder,1708382786.054126,5963,0,1
1,NewOrder,1708382786.060139,6286,0,1
5,StockLevel,1708382786.066474,2121,0,1
1,NewOrder,1708382786.068617,6769,0,1
2,Payment,1708382786.075418,26238,0,1
5,StockLevel,1708382786.101688,2367,0,1
1,NewOrder,1708382786.104087,3706,0,1
2,Payment,1708382786.107823,3212,0,1
1,NewOrder,1708382786.111065,6175,0,1
5,StockLevel,1708382786.117280,1550,0,1
1,NewOrder,1708382786.119051,7294,0,1
1,NewOrder,1708382786.126396,6925,0,1
2,Payment,1708382786.133354,2635,0,1
2,Payment,1708382786.136017,2345,0,1
2,Payment,1708382786.138388,2140,0,1
2,Payment,1708382786.140555,2232,0,1
4,Delivery,1708382786.142815,14954,0,1
1,NewOrder,1708382786.157800,8603,0,1
2,Payment,1708382786.166438,3834,0,1
2,Payment,1708382786.170301,1763,0,1
2,Payment,1708382786.172090,2190,0,1
2,Payment,1708382786.174309,2274,0,1
