Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.000,1.543,0.399,0.608,1.349,1.755,3.004,3.420,7.171,7.171,0.648
5,14.200,0.936,0.411,0.484,0.663,1.018,1.757,2.434,4.504,4.504,1.069
10,10.000,1.110,0.440,0.581,0.956,1.082,1.257,2.053,7.215,7.215,0.901
15,11.800,0.875,0.392,0.466,0.541,0.962,1.124,3.726,6.735,6.735,1.143
20,12.200,0.890,0.353,0.430,0.469,0.583,1.096,2.101,11.931,11.931,1.123
25,8.400,0.817,0.346,0.461,0.801,0.957,1.191,1.286,3.604,3.604,1.224
30,10.000,0.817,0.380,0.472,0.772,1.022,1.342,1.497,2.622,2.622,1.224
35,15.200,0.644,0.354,0.432,0.472,0.608,0.867,1.155,5.205,5.205,1.552
40,9.800,0.655,0.347,0.422,0.500,0.904,1.097,1.243,1.346,1.346,1.527
45,11.400,0.789,0.382,0.499,0.807,0.967,1.148,1.180,1.272,1.272,1.268
50,10.400,0.666,0.371,0.438,0.640,0.919,1.023,1.126,1.186,1.186,1.502
55,11.000,0.648,0.317,0.413,0.611,0.902,0.957,1.002,1.178,1.178,1.543
