Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.000,1.747,0.915,1.198,1.431,1.665,2.033,2.405,17.599,17.599,0.573
5,19.400,1.313,0.874,1.089,1.211,1.394,1.515,2.168,4.211,4.211,0.761
10,20.200,1.277,0.718,1.111,1.211,1.376,1.621,1.753,2.246,2.467,0.783
15,17.800,1.335,0.889,1.152,1.300,1.414,1.733,1.864,2.676,2.676,0.749
20,16.600,1.286,0.899,1.163,1.266,1.388,1.519,1.644,1.810,1.810,0.778
25,20.000,1.305,0.923,1.195,1.289,1.390,1.540,1.578,2.744,2.744,0.766
30,18.400,1.378,0.863,1.181,1.287,1.419,1.643,1.725,6.777,6.777,0.726
35,21.000,1.316,0.886,1.183,1.291,1.410,1.513,1.636,2.105,2.934,0.760
40,15.600,1.392,0.788,1.186,1.340,1.522,1.690,1.764,3.394,3.394,0.718
45,16.600,1.402,0.909,1.179,1.304,1.521,1.803,2.068,3.726,3.726,0.713
50,20.000,1.416,0.875,1.115,1.261,1.490,1.794,2.114,7.614,7.614,0.706
55,22.400,1.300,0.913,1.156,1.254,1.377,1.581,1.757,2.256,2.458,0.769
