Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.600,1.959,0.439,0.885,1.483,2.475,3.731,4.878,7.981,7.981,0.511
5,10.400,0.898,0.425,0.536,0.628,0.957,1.866,2.560,4.504,4.504,1.114
10,7.600,0.853,0.470,0.626,0.886,1.040,1.181,1.417,1.514,1.514,1.172
15,7.800,1.111,0.452,0.727,1.038,1.271,1.601,3.602,3.677,3.677,0.900
20,10.400,0.970,0.398,0.480,0.569,1.006,1.286,3.954,7.546,7.546,1.031
25,10.200,0.921,0.355,0.438,0.482,0.944,1.294,1.343,12.436,12.436,1.086
30,12.800,0.633,0.365,0.440,0.498,0.794,1.005,1.185,1.407,1.407,1.581
35,10.600,0.644,0.356,0.445,0.520,0.772,1.084,1.289,1.732,1.732,1.552
40,10.400,0.594,0.374,0.445,0.521,0.720,0.994,1.010,1.113,1.113,1.682
45,9.000,1.006,0.337,0.421,0.496,0.979,1.160,1.312,11.180,11.180,0.994
50,10.000,0.866,0.358,0.425,0.701,0.958,1.144,1.337,6.764,6.764,1.155
55,12.400,0.526,0.333,0.400,0.435,0.508,0.923,0.955,1.223,1.223,1.900
