Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,172.400,3.545,1.479,2.321,2.998,4.031,5.618,6.396,11.167,59.671,0.282
5,180.200,3.609,1.014,2.493,3.249,4.638,5.774,6.194,7.286,8.400,0.277
10,173.000,3.786,1.025,2.442,3.277,4.889,6.204,6.876,8.607,15.188,0.264
15,181.200,3.477,1.045,2.164,2.943,4.409,6.194,7.147,7.955,10.882,0.288
20,178.400,3.595,1.128,2.228,3.056,4.696,6.390,7.092,8.589,11.439,0.278
25,175.200,3.672,1.049,2.340,3.091,4.732,6.410,7.349,8.833,13.166,0.272
30,167.200,3.653,1.216,2.377,3.145,4.698,6.152,6.992,8.130,14.763,0.274
35,164.200,3.841,1.494,2.383,3.318,5.151,6.341,6.810,7.926,11.946,0.260
40,176.000,3.730,1.098,2.263,3.142,4.994,6.491,7.203,8.194,17.185,0.268
45,178.000,3.824,1.033,2.387,3.186,5.084,6.582,7.333,8.096,14.185,0.262
50,165.600,3.889,1.226,2.784,3.601,4.901,5.987,6.362,7.816,11.748,0.257
55,148.400,4.365,1.448,2.994,4.324,5.632,6.572,7.378,8.494,9.001,0.229
