Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,176,176.000,1413,2135,4783,5650,7022,10780,14276,24040,33077
1,221,221.000,1034,1683,3272,4523,5793,8315,12627,20155,41902
2,139,139.000,1237,2742,3559,7136,10663,14206,24295,29006,29271
3,258,258.000,627,1376,2696,3867,5248,7531,11179,22348,24763
4,161,161.000,607,2172,3565,6199,7558,11184,14303,27624,154335
5,236,236.000,699,1560,3411,4210,5887,8529,10685,13709,24301
6,188,188.000,541,1681,3460,5324,6418,11489,14748,24761,45064
7,188,188.000,501,2090,3132,5289,6777,11727,15350,25815,27175
8,160,160.000,493,2360,3536,6244,9455,13658,19466,24540,32278
9,180,180.000,484,2096,3427,5559,8502,11772,14481,21674,26026
10,237,237.000,461,1289,3174,4196,5685,9902,11178,14872,18566
11,295,295.000,457,1242,3098,3353,4835,6259,8668,12120,18066
12,301,301.000,503,1179,2129,3312,4714,6228,10008,11392,20157
13,254,254.000,455,1314,2405,3905,5288,8563,10563,20290,26570
14,197,197.000,505,1346,3195,5093,7950,11468,14095,22632,23523
15,297,297.000,472,1170,2210,3326,4524,6525,9886,12960,26694
16,234,234.000,530,1457,2710,4260,5634,10357,11496,15920,22593
17,262,262.000,440,1313,2904,3778,5223,7723,10570,15416,22433
18,287,287.000,415,1132,2353,3512,4627,6755,10835,17802,29907
19,279,279.000,466,1161,2751,3532,5075,7470,9769,11139,16279
20,293,293.000,391,1097,2840,3386,4551,5897,9982,13826,29637
21,264,264.000,414,1153,2509,3787,5295,8253,10300,19789,21485
22,270,270.000,468,1153,2980,3682,4934,6461,10642,20969,21981
23,317,317.000,450,1174,1673,3153,4604,6050,10116,12068,16726
24,246,246.000,409,1286,2902,4014,5767,8554,10418,17371,21957
25,248,248.000,423,1166,3074,4017,5236,9752,10968,20271,24210
26,247,247.000,440,1210,3163,4043,5352,9128,11071,22328,23923
27,299,299.000,377,1177,2598,3318,4261,7089,8833,15452,20056
28,287,287.000,428,1121,2742,3475,4450,6630,7334,20874,74267
29,336,336.000,344,1175,2384,2946,3977,5620,7679,12259,16810
30,376,376.000,383,1104,2318,2643,3703,4730,7103,9673,11647
31,266,266.000,349,1258,2534,3750,5158,8074,9987,18073,20473
32,371,371.000,398,1088,2454,2683,3855,4766,5737,8294,13275
33,314,314.000,407,1161,2455,3186,4102,7084,9025,11761,24451
34,347,347.000,388,1137,2410,2858,4074,5250,7305,9620,15176
35,303,303.000,378,1169,2446,3294,4490,7123,8646,16394,18129
36,320,320.000,426,1203,2364,3239,4107,5691,8168,14089,55127
37,187,187.000,459,1507,3131,5122,5659,8590,14433,29128,145030
38,212,212.000,416,1368,3450,4683,5455,7970,10961,24154,107788
39,363,363.000,362,1099,1655,2743,3822,5366,7330,12973,16944
40,370,370.000,378,1102,2025,2693,4015,5113,5691,8625,11540
41,252,252.000,451,1267,2927,3951,5003,7917,10832,20278,23114
42,324,324.000,397,1195,2591,3079,3922,5442,7561,18527,23746
43,222,222.000,470,1424,2936,4500,5342,8713,10854,16671,105824
44,355,355.000,328,1177,1901,2792,4211,5468,6343,8984,11488
45,384,384.000,368,1065,2211,2597,3864,4719,6854,7487,9205
46,324,324.000,378,1244,3149,3082,4450,5347,6535,9371,9984
47,307,307.000,414,1237,2429,3232,4354,6116,8371,14914,34254
48,304,304.000,391,1144,2516,3290,4168,6779,8392,15988,31280
49,245,245.000,419,1300,2909,4049,5182,7448,8573,18560,87826
50,385,385.000,344,1077,2215,2590,3926,4782,5438,8793,10468
51,361,361.000,388,1144,1874,2756,4137,5270,5951,8689,9335
52,351,351.000,394,1132,2152,2840,4240,5158,7535,10200,12181
53,370,370.000,379,1154,1965,2692,3892,5023,6292,8054,9200
54,367,367.000,383,1060,2015,2724,3807,5656,6969,9386,14606
55,375,375.000,362,1078,1965,2647,3729,4801,7288,9682,15918
56,377,377.000,357,1047,2445,2645,3842,4761,7049,7356,8126
57,399,399.000,391,1062,2076,2499,3727,4582,4920,7647,8355
58,321,321.000,392,1075,2524,3101,4341,7155,8043,10721,13280
59,404,404.000,363,1048,2052,2459,3791,4524,4866,7124,7622
