Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.400,1.379,0.857,1.099,1.224,1.468,1.923,2.376,3.766,3.766,0.725
5,15.800,1.315,0.866,1.125,1.285,1.475,1.679,1.820,2.012,2.012,0.760
10,17.600,1.300,0.822,1.090,1.236,1.420,1.599,1.907,3.496,3.496,0.769
15,14.000,1.428,0.899,1.188,1.332,1.601,2.152,2.248,2.391,2.391,0.700
20,16.400,1.458,0.888,1.216,1.361,1.611,1.811,2.059,4.032,4.032,0.686
25,13.000,1.334,0.809,1.161,1.323,1.446,1.591,1.812,2.307,2.307,0.749
30,13.400,1.497,0.988,1.305,1.457,1.664,1.807,1.923,2.511,2.511,0.668
35,16.800,1.653,1.113,1.361,1.465,1.729,2.574,2.799,3.288,3.288,0.605
40,19.200,1.488,0.976,1.313,1.409,1.537,1.656,1.862,6.666,6.666,0.672
45,18.600,1.486,1.062,1.305,1.449,1.570,1.809,1.997,2.791,2.791,0.673
50,23.000,1.364,1.012,1.215,1.355,1.484,1.581,1.681,2.009,2.021,0.733
55,18.200,1.468,0.987,1.274,1.374,1.529,1.773,2.515,3.160,3.160,0.681
