Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,146.600,1.421,0.763,1.016,1.149,1.389,2.080,2.517,5.872,29.036,0.704
5,119.400,1.471,0.722,0.940,1.379,1.856,2.111,2.394,3.806,5.888,0.680
10,165.600,1.094,0.691,0.803,0.902,1.304,1.756,1.915,2.296,4.456,0.914
15,155.400,1.146,0.694,0.809,0.898,1.395,1.799,2.002,2.806,10.360,0.873
20,139.200,1.269,0.675,0.816,1.000,1.708,1.904,2.139,2.505,4.378,0.788
25,136.800,1.294,0.661,0.811,1.150,1.758,2.003,2.219,2.817,6.806,0.773
30,139.400,1.357,0.633,0.852,1.397,1.696,1.893,2.069,2.681,5.325,0.737
35,155.800,1.259,0.650,0.788,1.061,1.691,1.831,2.043,3.554,12.819,0.794
40,141.200,1.248,0.642,0.749,0.855,1.479,1.898,2.251,4.660,25.506,0.801
45,166.400,1.103,0.633,0.735,0.809,1.474,1.810,1.990,3.014,6.144,0.906
50,157.800,1.133,0.639,0.775,0.909,1.486,1.708,1.799,2.399,9.731,0.883
55,142.600,1.208,0.678,0.804,0.907,1.719,1.885,2.006,2.254,11.534,0.828
