Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.200,2.412,1.286,1.618,2.003,2.543,3.347,6.137,7.968,7.968,0.415
5,12.000,1.720,1.034,1.436,1.632,1.932,2.202,2.714,3.758,3.758,0.582
10,9.000,2.030,1.260,1.580,1.886,2.105,2.977,3.232,5.434,5.434,0.493
15,10.000,1.875,1.208,1.483,1.632,2.054,2.820,3.181,3.835,3.835,0.533
20,12.000,1.902,1.189,1.526,1.807,2.119,2.590,2.874,5.778,5.778,0.526
25,14.200,1.715,1.152,1.429,1.586,1.799,2.207,2.956,3.335,3.335,0.583
30,12.400,1.828,1.044,1.480,1.696,1.915,2.646,3.142,3.829,3.829,0.547
35,12.200,1.844,1.115,1.438,1.696,1.926,2.531,3.083,5.391,5.391,0.542
40,10.400,2.344,1.163,1.437,1.654,2.765,4.464,5.794,6.960,6.960,0.427
45,9.600,2.434,1.523,1.836,2.175,2.906,3.698,3.981,5.647,5.647,0.411
50,12.600,1.851,1.214,1.548,1.763,2.023,2.371,2.726,3.258,3.258,0.540
55,15.800,1.709,1.128,1.522,1.660,1.835,2.034,2.280,2.935,2.935,0.585
