Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,138.200,4.428,1.336,2.819,3.621,5.223,8.106,9.442,12.639,26.058,0.226
5,135.400,4.908,1.816,2.966,3.970,6.247,8.753,9.998,12.387,28.012,0.204
10,138.200,4.626,1.793,2.979,3.935,6.074,7.794,8.629,10.511,18.048,0.216
15,119.400,5.559,1.463,3.384,5.203,7.170,9.225,9.862,11.865,32.553,0.180
20,127.800,5.070,1.727,3.381,4.993,6.493,7.724,8.331,9.991,11.948,0.197
25,152.400,4.329,1.100,2.547,3.488,6.024,7.603,8.410,9.763,10.840,0.231
30,157.000,4.015,1.582,2.369,3.196,5.432,7.467,8.330,9.890,11.484,0.249
35,163.600,4.064,1.145,2.549,3.341,5.487,7.190,8.187,9.378,10.884,0.246
40,142.000,4.535,1.611,2.702,3.737,6.150,7.847,8.729,10.088,12.841,0.221
45,168.000,3.794,1.149,2.405,3.209,4.651,6.580,7.696,10.998,17.049,0.264
50,200.600,3.256,1.025,2.217,2.894,3.474,5.463,6.810,9.171,16.075,0.307
55,151.600,4.254,1.371,2.476,3.639,5.688,7.288,8.600,9.949,12.721,0.235
