Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,73.400,2.668,1.020,1.767,2.422,2.857,3.652,4.622,14.740,39.548,0.375
5,99.400,1.864,1.000,1.196,1.831,2.328,2.693,2.996,4.842,9.087,0.536
10,108.800,1.776,0.939,1.138,1.809,2.207,2.559,2.812,4.406,11.548,0.563
15,105.800,1.745,0.911,1.167,1.826,2.108,2.451,2.607,3.415,11.825,0.573
20,107.000,1.618,0.920,1.081,1.758,2.039,2.344,2.548,2.968,3.344,0.618
25,109.000,1.759,0.911,1.089,1.895,2.147,2.403,2.604,3.446,11.943,0.569
30,103.400,1.804,0.920,1.102,1.824,2.187,2.504,2.795,5.467,16.623,0.554
35,94.000,1.840,0.903,1.246,1.953,2.164,2.417,2.578,3.038,5.040,0.544
40,99.200,1.869,0.931,1.155,1.951,2.233,2.531,2.811,3.978,14.886,0.535
45,117.000,1.526,0.887,1.065,1.215,1.984,2.197,2.373,2.748,4.521,0.655
50,102.200,1.727,0.892,1.088,1.889,2.073,2.277,2.512,2.951,11.703,0.579
55,111.200,1.644,0.910,1.062,1.499,2.099,2.456,2.621,3.397,5.537,0.608
