Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,401.400,2.479,0.351,0.905,1.725,3.075,5.283,6.293,12.105,59.671,0.403
5,393.400,2.533,0.314,1.011,1.692,3.455,5.360,6.171,11.560,14.494,0.395
10,367.600,2.711,0.339,1.126,1.843,3.533,5.896,6.864,12.220,17.278,0.369
15,406.200,2.453,0.284,0.799,1.705,3.008,5.571,6.647,12.679,18.225,0.408
20,394.600,2.527,0.287,0.820,1.782,3.158,5.831,6.670,12.635,18.136,0.396
25,386.600,2.582,0.304,0.811,1.812,3.219,5.929,6.849,12.900,15.412,0.387
30,388.800,2.566,0.305,0.814,1.762,3.253,5.817,6.635,12.993,18.253,0.390
35,365.600,2.730,0.289,1.188,1.772,3.687,5.983,6.810,13.297,14.318,0.366
40,375.600,2.657,0.268,0.831,1.789,3.289,5.899,7.031,13.398,37.233,0.376
45,395.200,2.525,0.258,0.800,1.676,3.224,5.772,6.722,9.633,26.222,0.396
50,372.400,2.681,0.277,1.026,1.726,3.795,5.583,6.486,11.669,14.703,0.373
55,336.600,2.962,0.265,1.300,1.778,4.474,6.110,7.232,12.810,15.551,0.338
