Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.800,21.460,7.893,9.488,21.148,22.638,27.134,51.053,121.531,121.531,0.047
5,9.600,10.037,7.403,7.814,8.022,9.093,17.020,18.269,28.949,28.949,0.100
10,10.400,11.416,7.182,7.747,8.232,11.256,21.958,28.708,38.114,38.114,0.088
15,8.600,11.827,7.195,7.879,9.225,16.353,18.477,19.058,20.734,20.734,0.085
20,12.000,11.555,7.097,7.581,8.636,16.157,17.582,19.651,31.979,31.979,0.087
25,11.200,9.132,6.890,7.226,7.636,8.602,16.218,17.794,20.606,20.606,0.110
30,12.000,9.242,6.892,7.348,7.683,8.593,16.660,20.859,22.194,22.194,0.108
35,13.200,10.286,6.818,7.311,7.851,10.306,19.126,20.461,24.679,24.679,0.097
40,10.400,11.729,7.194,7.667,8.556,17.518,19.718,21.849,28.327,28.327,0.085
45,13.000,11.426,6.899,7.426,7.907,10.970,18.931,24.280,68.246,68.246,0.088
50,12.200,9.974,6.960,7.377,7.622,9.646,17.143,18.490,22.638,22.638,0.100
55,13.800,8.318,6.828,7.135,7.320,7.602,12.107,15.989,20.295,20.295,0.120
