Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,148.600,6.702,0.549,2.461,4.285,9.064,13.956,17.212,32.571,79.577,0.149
5,274.200,3.637,0.416,1.204,2.709,4.731,7.279,10.611,18.492,23.479,0.275
10,299.800,3.323,0.420,1.122,2.610,4.691,6.510,9.941,12.356,23.041,0.301
15,298.800,3.334,0.407,1.115,2.293,4.558,6.545,10.058,12.525,31.851,0.300
20,217.400,4.601,0.380,1.304,3.190,6.066,10.631,12.926,21.141,39.707,0.217
25,194.800,5.090,0.420,1.852,3.190,7.281,11.451,14.089,21.555,53.219,0.196
30,305.400,3.261,0.383,1.156,2.687,4.129,6.667,8.305,16.418,28.881,0.307
35,261.800,3.793,0.382,1.257,2.744,4.654,7.601,10.320,21.312,39.509,0.264
40,344.000,2.898,0.367,1.108,2.323,4.004,5.377,7.427,10.947,20.102,0.345
45,362.800,2.749,0.340,1.089,2.011,3.927,5.056,7.389,9.994,23.716,0.364
50,327.000,3.049,0.359,1.110,2.263,4.144,6.527,8.024,10.875,22.106,0.328
55,371.000,2.684,0.312,1.060,2.047,3.875,4.874,7.194,9.353,25.563,0.373
