Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.200,1.596,0.986,1.261,1.489,1.870,2.136,2.443,3.495,3.495,0.627
5,11.000,1.570,0.693,1.312,1.484,1.794,2.115,2.192,3.148,3.148,0.637
10,16.400,1.534,0.716,1.217,1.349,1.526,1.821,2.452,6.264,6.264,0.652
15,9.000,1.667,0.997,1.313,1.562,1.849,2.311,2.513,3.506,3.506,0.600
20,12.600,1.575,1.018,1.306,1.420,1.675,2.394,2.673,3.065,3.065,0.635
25,14.000,1.722,0.990,1.283,1.444,2.028,2.442,2.656,6.719,6.719,0.581
30,16.800,1.566,0.865,1.232,1.380,1.864,2.295,2.553,3.106,3.106,0.638
35,15.400,1.605,1.032,1.252,1.505,1.870,2.186,2.342,3.523,3.523,0.623
40,11.200,1.646,0.975,1.297,1.492,1.800,2.379,2.762,3.500,3.500,0.608
45,14.400,1.480,0.837,1.170,1.353,1.678,2.088,2.314,3.517,3.517,0.676
50,17.600,1.426,0.981,1.226,1.366,1.550,1.832,2.106,2.643,2.643,0.701
55,15.800,1.735,0.940,1.221,1.536,2.163,2.640,3.052,3.601,3.601,0.576
