Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.200,1.244,0.424,0.519,0.786,1.614,2.400,3.551,7.371,7.371,0.804
5,23.000,0.478,0.282,0.388,0.412,0.478,0.752,0.833,1.313,1.581,2.092
10,25.000,0.474,0.288,0.354,0.379,0.441,0.649,0.758,2.449,5.074,2.111
15,20.800,0.433,0.265,0.342,0.371,0.415,0.630,0.794,1.077,2.303,2.311
20,21.000,0.476,0.266,0.342,0.368,0.415,0.567,0.645,0.895,8.392,2.099
25,22.800,0.429,0.267,0.335,0.352,0.396,0.552,0.759,1.086,4.552,2.331
30,20.200,0.442,0.269,0.329,0.362,0.486,0.772,0.800,0.856,0.899,2.265
35,19.800,0.429,0.271,0.337,0.362,0.415,0.724,0.812,1.096,1.096,2.329
40,19.400,0.501,0.298,0.336,0.360,0.416,0.512,0.628,10.726,10.726,1.996
45,22.000,0.408,0.297,0.343,0.366,0.408,0.497,0.700,0.922,1.045,2.449
50,22.800,0.418,0.304,0.361,0.389,0.448,0.496,0.548,0.839,1.426,2.391
55,22.000,0.405,0.284,0.347,0.371,0.400,0.575,0.683,0.836,0.899,2.470
