Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.000,1.274,0.446,0.571,0.999,1.668,2.871,3.005,4.560,4.560,0.785
5,16.400,0.583,0.345,0.447,0.495,0.620,0.919,1.065,1.597,1.597,1.715
10,18.000,0.501,0.315,0.382,0.413,0.491,0.610,0.786,4.025,4.025,1.995
15,11.800,0.559,0.309,0.375,0.401,0.493,0.634,1.088,3.719,3.719,1.788
20,20.800,0.496,0.308,0.362,0.413,0.525,0.736,0.849,2.284,2.995,2.016
25,22.200,0.410,0.254,0.332,0.354,0.401,0.498,0.623,0.889,3.296,2.439
30,21.000,0.419,0.254,0.322,0.354,0.418,0.671,0.786,0.909,2.098,2.387
35,14.200,0.464,0.245,0.332,0.381,0.494,0.779,0.891,1.150,1.150,2.157
40,12.800,0.512,0.290,0.339,0.379,0.590,0.863,0.963,1.630,1.630,1.953
45,16.600,0.646,0.293,0.334,0.390,0.521,0.801,0.985,15.736,15.736,1.547
50,13.800,0.467,0.313,0.356,0.399,0.464,0.761,0.928,1.175,1.175,2.142
55,16.200,0.439,0.262,0.342,0.379,0.434,0.729,0.854,1.160,1.160,2.279
