Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,107.200,5.407,1.156,2.759,4.158,6.875,10.361,11.944,20.737,33.193,0.185
5,188.600,3.426,1.558,2.256,2.936,3.764,6.192,7.203,9.515,13.819,0.292
10,192.200,3.234,1.505,2.226,2.797,3.510,5.572,6.685,8.004,10.470,0.309
15,177.800,3.672,1.067,2.353,3.141,4.506,6.295,7.101,9.122,17.444,0.272
20,194.400,3.303,0.965,2.265,2.870,3.726,5.652,6.584,8.625,14.234,0.303
25,208.600,2.988,1.102,2.088,2.669,3.237,4.873,6.210,7.605,9.179,0.335
30,191.400,3.434,1.256,2.335,2.945,3.795,5.997,7.115,8.899,16.368,0.291
35,208.600,3.067,1.177,2.255,2.809,3.391,4.270,5.899,8.018,10.272,0.326
40,187.800,3.524,1.058,2.343,3.049,3.852,6.167,7.508,9.263,10.747,0.284
45,209.600,3.124,1.464,2.336,2.882,3.482,4.273,5.610,8.037,12.720,0.320
50,194.600,3.222,1.257,2.329,2.925,3.575,4.637,6.038,8.521,21.825,0.310
55,192.200,3.365,1.201,2.285,2.865,3.581,6.082,7.373,9.348,10.876,0.297
