Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,109.800,1.947,0.904,1.141,1.355,2.232,3.071,4.478,9.562,36.018,0.514
5,134.600,1.527,0.825,0.999,1.261,1.849,2.356,2.797,4.441,10.082,0.655
10,179.000,1.150,0.763,0.911,1.003,1.139,1.479,1.931,3.263,12.033,0.869
15,73.000,3.470,0.825,0.994,1.199,2.132,3.291,5.932,69.638,129.760,0.288
20,87.000,2.107,0.895,1.172,1.509,2.437,3.529,4.200,6.761,50.178,0.475
25,121.600,1.540,0.903,1.102,1.280,1.771,2.571,2.776,3.560,11.013,0.649
30,144.000,1.227,0.818,0.986,1.075,1.224,1.741,2.153,2.719,14.471,0.815
35,160.000,1.155,0.810,0.922,0.989,1.096,1.650,2.000,2.760,32.031,0.866
40,129.800,1.302,0.801,0.959,1.089,1.529,1.903,2.103,2.628,15.358,0.768
45,149.600,1.281,0.801,0.913,1.008,1.371,2.069,2.408,3.220,13.062,0.781
50,175.200,1.079,0.795,0.902,0.972,1.089,1.333,1.693,2.344,10.475,0.927
55,149.600,1.169,0.787,0.920,1.016,1.208,1.709,2.118,2.914,5.205,0.856
