Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,190,190.000,1501,2150,4340,5238,6713,8946,13762,26673,32648
1,410,410.000,521,1041,1989,2409,3146,4266,6304,8633,14542
2,423,423.000,459,895,1655,2353,2984,4938,6678,10330,13572
3,493,493.000,386,846,1667,2017,2686,3444,5854,6976,15603
4,436,436.000,311,846,1815,2280,2951,4595,6362,12663,16426
5,419,419.000,413,866,1780,2387,2916,5318,6371,13015,17039
6,365,365.000,409,979,1931,2717,3487,5621,7074,13195,13651
7,461,461.000,371,832,1634,2157,2839,4450,6267,7528,14724
8,410,410.000,356,817,1791,2427,2903,6110,6981,13297,17230
9,375,375.000,369,904,1905,2653,3191,6232,7934,11292,15635
10,472,472.000,395,836,1648,2108,2965,3928,6102,6800,7773
11,445,445.000,352,824,1842,2237,2907,3723,6569,10672,13901
12,289,289.000,405,1509,2185,3465,5036,7634,8725,15945,20517
13,293,293.000,413,1188,2224,3362,4711,7634,9352,15502,21727
14,449,449.000,361,814,1779,2215,2772,3894,6454,9320,16264
15,525,525.000,299,821,1275,1897,2758,3492,4010,6912,7434
16,411,411.000,334,860,1719,2423,3188,4806,6501,10259,26075
17,189,189.000,470,1626,3001,5278,6190,11104,13834,37910,68447
18,219,219.000,375,1303,2641,4540,5659,10525,14910,24703,36910
19,336,336.000,399,926,2217,2956,3426,6150,7386,12102,77577
20,433,433.000,396,890,2139,2297,3223,3919,4297,7954,16815
21,229,229.000,469,1559,2961,4356,4891,7246,8613,16318,157699
22,250,250.000,370,1229,2305,4005,3939,6770,9259,34348,142791
23,152,152.000,340,1879,3448,6530,6686,13065,28167,41950,87696
24,381,381.000,436,972,1888,2611,3522,5031,7641,11317,12626
25,357,357.000,400,975,2266,2792,3498,4691,7936,15525,21618
26,291,291.000,398,1034,2170,3421,4121,8156,11683,19388,25373
27,313,313.000,415,1078,2353,3183,3982,6949,8342,17575,29199
28,370,370.000,408,952,2042,2690,3408,5142,7580,15646,21150
29,383,383.000,423,949,2004,2606,3287,4313,7401,10873,55399
30,330,330.000,417,920,2075,3035,3533,7273,8603,17620,57300
31,212,212.000,416,1407,2613,4683,6107,9261,15571,31935,62650
32,367,367.000,412,947,2105,2713,3583,6609,7842,9548,16210
33,414,414.000,308,941,2047,2404,3419,4335,6110,8601,14430
34,272,272.000,430,1251,2490,3680,5094,7798,10541,15748,22866
35,277,277.000,447,1296,2310,3588,4779,7867,9910,18375,20841
36,342,342.000,409,1063,2192,2908,3827,6609,7826,9625,24532
37,383,383.000,383,904,1898,2602,3312,4762,7290,14860,44066
38,393,393.000,346,936,2014,2555,3260,4593,7389,11669,21838
39,317,317.000,383,1053,2458,3123,3798,5993,7566,20380,42816
40,450,450.000,395,917,1781,2212,3218,4081,4529,7401,7753
41,376,376.000,393,949,2017,2647,3432,4590,7668,12725,20990
42,330,330.000,366,983,2319,3019,3781,6418,8325,19794,23473
43,408,408.000,337,876,1927,2440,3229,4311,7259,10167,24910
44,405,405.000,341,912,1775,2464,3296,4900,6981,8445,19679
45,293,293.000,386,1071,2321,3419,3937,7331,9488,17315,24367
46,414,414.000,337,876,1635,2416,3292,4392,6872,9410,35370
47,381,381.000,376,951,2104,2585,3352,5140,6932,9029,15897
48,357,357.000,399,1006,2028,2806,3772,6198,7512,11330,12265
49,242,242.000,716,1617,3146,4116,5920,8489,10120,13665,21576
50,382,382.000,365,969,1993,2601,3403,4770,7602,11017,19067
51,370,370.000,373,947,1995,2684,3299,5536,7691,13383,38415
52,337,337.000,372,1061,2299,2956,3736,5511,6759,15436,31571
53,372,372.000,324,958,2067,2692,3463,5239,6932,10995,40515
54,331,331.000,371,962,2004,3008,3493,6791,7522,18281,40209
55,176,176.000,717,1813,4399,5643,8154,10169,14693,24103,65392
56,306,306.000,391,1021,2501,3265,4053,7222,8254,13388,18601
57,483,483.000,351,842,1822,2058,3007,3680,4149,6947,7988
58,355,355.000,313,875,1900,2821,3636,6593,7451,15193,17404
59,432,432.000,366,815,1842,2285,3075,3889,6483,8987,16561
