Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,104.800,2.039,0.783,1.117,1.432,2.318,3.864,4.822,8.660,22.880,0.490
5,176.000,1.092,0.712,0.845,0.921,1.109,1.706,1.937,2.549,6.801,0.916
10,153.200,1.201,0.728,0.837,0.933,1.228,1.926,2.237,4.567,12.711,0.832
15,170.200,1.038,0.746,0.858,0.922,1.024,1.313,1.818,2.721,11.300,0.963
20,196.600,0.964,0.749,0.828,0.886,0.972,1.167,1.484,2.113,4.907,1.037
25,184.000,1.104,0.725,0.835,0.899,1.025,1.681,1.979,3.504,20.310,0.906
30,146.800,1.269,0.748,0.938,1.044,1.360,1.943,2.324,3.621,11.757,0.788
35,167.600,1.094,0.773,0.930,1.004,1.109,1.338,1.650,2.475,10.279,0.914
40,150.200,1.412,0.767,0.945,1.067,1.545,2.131,2.542,5.329,27.932,0.708
45,129.600,1.420,0.773,0.963,1.186,1.689,2.188,2.486,3.743,11.767,0.704
50,119.400,1.556,0.792,0.972,1.151,1.844,2.451,3.100,5.393,20.323,0.643
55,126.000,1.436,0.808,0.970,1.093,1.581,2.171,2.666,4.608,19.921,0.696
