Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.200,2.154,1.159,1.405,1.730,2.318,3.097,3.967,8.821,8.821,0.464
5,14.400,1.631,0.866,1.256,1.482,1.794,2.438,3.024,3.954,3.954,0.613
10,14.600,1.866,1.106,1.357,1.521,1.843,2.917,4.072,8.650,8.650,0.536
15,9.600,2.255,1.339,1.626,1.920,2.619,3.455,3.641,8.174,8.174,0.444
20,10.800,2.212,1.375,1.706,1.964,2.565,3.372,4.077,4.268,4.268,0.452
25,8.000,3.946,1.512,1.726,1.923,2.597,3.765,4.182,73.162,73.162,0.253
30,8.800,2.229,1.496,1.879,2.120,2.525,3.053,3.318,4.434,4.434,0.449
35,13.000,2.008,1.229,1.626,1.809,2.055,2.677,3.445,6.268,6.268,0.498
40,11.200,2.072,1.317,1.609,1.865,2.377,2.856,3.089,6.214,6.214,0.483
45,10.400,2.560,1.264,1.811,2.182,3.071,4.040,5.010,7.291,7.291,0.391
50,9.400,2.625,1.432,1.834,2.307,2.816,4.181,5.122,6.659,6.659,0.381
55,10.400,2.505,1.591,2.042,2.211,2.648,3.941,4.558,4.950,4.950,0.399
