Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,135.000,1.438,0.679,0.888,1.192,1.775,2.159,2.494,4.376,22.996,0.696
5,147.800,1.203,0.662,0.815,0.991,1.492,1.907,2.083,2.920,8.393,0.832
10,127.600,1.487,0.699,0.966,1.241,1.732,2.180,2.603,4.904,23.224,0.672
15,104.200,1.640,0.665,0.949,1.559,1.835,2.164,2.626,6.017,31.310,0.610
20,101.000,1.719,0.694,1.015,1.606,1.932,2.439,3.022,6.638,20.459,0.582
25,106.400,1.731,0.785,1.067,1.709,2.043,2.470,2.904,4.164,16.302,0.578
30,135.200,1.368,0.732,0.872,1.006,1.744,2.065,2.637,5.283,23.869,0.731
35,147.400,1.232,0.760,0.888,0.972,1.372,2.031,2.276,3.307,4.354,0.812
40,125.200,1.474,0.764,0.942,1.153,1.877,2.207,2.556,4.682,12.224,0.678
45,121.000,1.384,0.786,0.950,1.081,1.770,2.117,2.375,3.859,13.586,0.723
50,91.000,1.879,0.800,1.050,1.888,2.234,2.644,3.143,4.736,29.152,0.532
55,122.800,1.632,0.771,0.980,1.295,1.951,2.441,2.901,5.075,22.248,0.613
