Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,194,194.000,1010,2273,3821,5137,6990,9672,14117,20937,27498
1,314,314.000,519,1368,2255,3150,3696,6677,7717,13586,30655
2,352,352.000,435,974,1876,2833,3476,6824,7941,12373,15906
3,425,425.000,391,856,1746,2337,2992,4705,6246,12686,19235
4,528,528.000,337,797,1404,1902,2710,3393,4361,6364,17121
5,417,417.000,355,796,1795,2371,2839,5602,6572,11330,16702
6,371,371.000,331,867,1790,2680,3183,6025,6867,14206,18030
7,435,435.000,341,777,1705,2286,2914,5784,6293,7516,13442
8,412,412.000,314,841,1809,2416,3123,5538,6206,8604,13904
9,489,489.000,284,758,1562,2037,2625,3707,5865,6708,22432
10,387,387.000,368,872,1804,2571,3163,5631,6398,12292,15938
11,366,366.000,346,908,1666,2720,3366,5995,7110,13126,13499
12,585,585.000,280,753,1234,1699,2415,3187,3461,6686,9480
13,344,344.000,372,1007,1933,2889,3770,6728,7297,12541,16631
14,525,525.000,276,721,1550,1890,2536,3331,5689,6994,18111
15,432,432.000,319,780,1686,2306,2855,5363,6349,12203,13733
16,517,517.000,323,735,1450,1926,2426,3353,5616,10189,15225
17,499,499.000,332,753,1696,1996,2608,3500,5614,7977,10101
18,537,537.000,278,703,1417,1855,2437,3253,5612,7516,14607
19,575,575.000,309,711,1421,1738,2408,3123,4971,6282,9550
20,557,557.000,324,716,1239,1782,2542,3250,5526,6271,11617
21,540,540.000,303,717,1331,1847,2566,3323,5623,7412,13691
22,592,592.000,301,713,1051,1684,2334,3069,4622,6045,9671
23,464,464.000,291,756,1631,2154,2807,5161,5842,7121,12620
24,530,530.000,316,754,1684,1873,2541,3196,5313,6071,12137
25,533,533.000,301,736,1596,1870,2539,3240,4653,6607,12138
26,542,542.000,291,698,1428,1846,2491,3183,5510,6491,25010
27,439,439.000,274,750,1728,2262,2767,5209,6117,12312,14088
28,483,483.000,272,747,1636,2066,2703,4128,5630,6876,13123
29,462,462.000,352,899,1464,2153,2928,4153,6105,8477,12821
30,393,393.000,309,799,1835,2534,3113,5934,6765,10432,27281
31,412,412.000,294,768,1688,2450,3071,5688,6436,12020,14488
32,353,353.000,316,873,1772,2789,3417,6208,7824,14581,29105
33,442,442.000,298,719,1631,2255,2622,4831,5960,7975,90469
34,434,434.000,268,766,1679,2297,2711,4763,6277,13616,27173
35,497,497.000,306,711,1610,2013,2629,3831,5778,10920,22004
36,584,584.000,279,698,1476,1702,2469,3002,3408,6078,7154
37,592,592.000,292,688,1240,1680,2471,3129,3446,6068,6534
38,565,565.000,291,694,1315,1765,2508,3247,4920,6270,8221
39,454,454.000,314,777,1808,2192,2884,3850,5929,8058,15230
40,556,556.000,276,724,1357,1794,2614,3286,4093,6142,8013
41,546,546.000,301,736,1636,1822,2609,3225,3586,6240,6836
42,529,529.000,296,742,1631,1886,2619,3286,5695,6386,13785
43,511,511.000,265,741,1620,1949,2735,3446,5623,6524,8111
44,545,545.000,322,752,1444,1827,2656,3257,3718,6195,12400
45,535,535.000,320,752,1603,1865,2709,3364,3830,6413,8301
46,497,497.000,328,763,1661,2003,2682,3374,6097,8279,15132
47,440,440.000,318,808,1824,2266,2948,4670,6423,8196,13980
48,438,438.000,303,776,1669,2273,2965,5187,6613,10881,15890
49,529,529.000,337,780,1348,1884,2711,3388,3932,6520,13578
50,494,494.000,304,803,1773,2021,2830,3575,5061,6812,12101
51,402,402.000,322,905,1666,2473,3408,5157,6702,10509,11949
52,378,378.000,326,897,1984,2638,3256,6093,7287,10063,16946
53,511,511.000,278,760,1545,1947,2752,3519,6050,6558,7016
54,448,448.000,306,770,1751,2226,2859,4167,6379,13016,17573
55,500,500.000,328,789,1789,1992,2899,3465,4531,6446,7550
56,418,418.000,311,810,1808,2385,2825,5783,7225,14195,16087
57,542,542.000,346,770,1425,1843,2626,3415,3767,6457,9597
58,385,385.000,357,848,1869,2584,3166,5811,7164,13537,15925
59,518,518.000,303,750,1594,1912,2672,3444,5432,6977,13276
