Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,173.000,3.531,1.244,2.334,3.077,4.047,5.786,6.596,10.894,27.512,0.283
5,155.000,4.128,1.055,2.425,3.278,5.440,7.134,8.263,11.773,20.167,0.242
10,129.800,4.893,1.183,2.586,3.975,6.408,8.718,10.296,14.861,49.478,0.204
15,175.800,3.673,1.222,2.183,2.990,4.178,6.571,7.755,12.466,30.283,0.272
20,198.200,3.231,1.474,2.169,2.816,3.686,5.521,6.314,8.882,13.168,0.310
25,146.200,4.319,1.104,2.710,4.085,5.762,6.744,7.874,8.957,11.543,0.232
30,141.000,4.659,1.065,2.757,4.173,6.396,7.897,8.773,9.842,10.909,0.215
35,172.800,3.788,1.454,2.456,3.189,4.518,6.988,7.784,9.445,10.786,0.264
40,152.000,4.274,1.685,2.586,3.413,5.445,7.914,9.067,11.163,21.613,0.234
45,145.200,4.596,1.373,2.761,3.698,6.171,8.381,9.201,10.790,11.292,0.218
50,146.400,4.451,1.822,2.898,3.800,5.459,7.332,9.045,11.245,19.190,0.225
55,131.800,4.978,1.227,3.027,4.018,6.678,8.845,10.053,11.090,12.843,0.201
