Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,209.600,4.747,0.711,1.918,3.097,6.528,9.410,11.613,21.631,73.389,0.211
5,282.200,3.529,0.446,1.138,2.567,4.105,7.704,9.650,18.378,39.291,0.283
10,322.200,3.085,0.463,1.112,2.249,3.911,6.677,8.729,12.393,84.897,0.324
15,309.000,3.219,0.420,1.134,2.567,3.996,6.378,8.923,16.271,40.120,0.311
20,338.200,2.947,0.392,1.059,2.207,3.832,5.953,8.328,12.757,33.749,0.339
25,304.400,3.265,0.400,1.076,2.500,4.123,7.089,8.779,15.953,38.417,0.306
30,296.000,3.360,0.354,1.102,2.510,4.116,7.328,9.119,18.453,54.770,0.298
35,261.200,3.820,0.361,1.462,2.458,5.598,8.290,9.491,16.397,29.637,0.262
40,328.600,3.032,0.376,1.009,2.169,3.798,6.910,8.153,15.245,27.956,0.330
45,328.400,3.042,0.383,1.068,2.260,3.950,6.657,8.338,12.011,49.229,0.329
50,351.200,2.830,0.361,0.971,2.128,3.633,5.616,7.799,14.228,51.745,0.353
55,413.800,2.405,0.360,0.925,1.876,3.331,4.359,6.430,9.406,24.038,0.416
