Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.200,3.399,1.470,1.936,2.312,4.772,5.019,5.169,13.069,13.069,0.294
5,8.600,1.180,0.473,0.626,0.883,1.401,2.273,3.187,4.427,4.427,0.848
10,11.000,0.863,0.414,0.483,0.522,0.907,1.677,2.276,6.177,6.177,1.159
15,12.200,1.005,0.377,0.468,0.554,1.098,1.618,3.663,6.910,6.910,0.995
20,11.000,0.835,0.379,0.429,0.508,0.767,0.966,1.287,8.527,8.527,1.197
25,17.000,0.501,0.307,0.392,0.437,0.500,0.761,1.040,1.300,1.300,1.997
30,14.400,0.423,0.286,0.359,0.381,0.419,0.507,0.842,1.033,1.033,2.364
35,18.000,0.542,0.290,0.332,0.374,0.439,0.566,0.829,11.828,11.828,1.846
40,17.600,0.441,0.266,0.332,0.355,0.508,0.737,0.901,1.064,1.064,2.267
45,20.800,0.396,0.263,0.320,0.338,0.388,0.447,0.680,0.891,2.889,2.525
50,22.000,0.350,0.239,0.297,0.312,0.341,0.454,0.695,0.797,0.801,2.853
55,18.400,0.547,0.232,0.290,0.311,0.373,0.734,0.805,14.653,14.653,1.828
