Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,233.000,4.272,0.336,1.380,2.844,5.154,9.280,12.077,22.382,44.220,0.234
5,255.000,3.904,0.389,1.232,2.632,4.811,8.184,11.269,19.865,84.892,0.256
10,322.200,3.087,0.342,1.072,2.207,4.150,6.075,8.473,13.429,50.042,0.324
15,278.000,3.584,0.325,1.049,2.401,4.567,8.252,10.055,16.600,59.075,0.279
20,343.200,2.898,0.266,0.948,2.052,4.004,5.911,8.423,11.352,24.478,0.345
25,281.000,3.548,0.296,1.045,2.267,4.695,8.146,9.904,16.905,38.149,0.282
30,337.600,2.953,0.294,1.025,2.156,3.726,6.042,8.194,15.559,27.465,0.339
35,364.200,2.733,0.300,1.045,2.162,3.696,5.080,6.833,9.815,26.473,0.366
40,318.400,3.129,0.347,1.108,2.368,4.093,6.257,8.091,13.856,45.122,0.320
45,376.800,2.644,0.282,1.005,2.087,3.570,5.225,6.630,9.239,38.847,0.378
50,355.800,2.802,0.310,0.982,2.123,3.673,5.873,7.138,11.899,34.814,0.357
55,452.000,2.203,0.259,0.848,1.804,3.113,3.901,5.651,8.112,34.045,0.454
