Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,115.800,5.215,1.738,3.021,3.986,6.142,9.758,12.086,18.157,49.587,0.192
5,185.400,3.525,1.199,2.483,3.144,3.771,5.711,7.185,9.811,16.833,0.284
10,161.400,3.907,1.192,2.542,3.217,4.155,7.015,8.757,12.095,14.465,0.256
15,191.800,3.370,1.407,2.487,3.121,3.702,4.343,6.304,10.505,12.674,0.297
20,194.400,3.300,1.293,2.428,3.086,3.678,4.232,5.707,9.147,34.609,0.303
25,173.000,3.632,1.684,2.538,3.211,3.879,5.444,7.523,10.337,23.268,0.275
30,148.400,4.327,1.868,2.907,3.587,4.646,6.542,8.046,14.118,104.493,0.231
35,180.200,3.706,1.430,2.802,3.467,4.154,4.822,6.184,9.486,31.857,0.270
40,144.800,4.266,1.555,2.857,3.760,4.906,7.006,8.493,11.091,20.317,0.234
45,125.800,5.058,1.867,3.222,4.170,6.021,8.379,10.240,16.813,30.043,0.198
50,118.200,5.568,1.958,3.080,4.314,7.228,9.649,12.204,20.742,28.972,0.180
55,133.800,4.744,1.907,3.073,3.868,5.034,8.136,9.743,17.944,35.755,0.211
