Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.000,10.467,5.715,6.841,8.499,13.683,14.634,20.733,33.234,33.234,0.096
5,12.400,11.211,5.470,9.077,12.572,13.113,14.049,15.642,17.845,17.845,0.089
10,14.800,9.546,5.589,5.933,9.427,13.156,13.815,14.211,15.224,15.224,0.105
15,16.800,8.645,5.416,5.747,6.102,12.226,12.861,14.123,14.753,14.753,0.116
20,15.200,8.413,5.329,5.608,5.887,12.715,13.924,14.706,16.407,16.407,0.119
25,15.000,9.655,5.294,5.813,8.613,12.932,14.621,15.367,20.503,20.503,0.104
30,18.800,8.280,5.324,5.718,5.978,12.281,13.652,14.581,19.198,19.198,0.121
35,14.800,8.945,5.313,5.925,8.576,11.912,13.728,14.239,15.698,15.698,0.112
40,15.400,8.942,5.355,5.739,6.130,13.436,14.458,15.154,24.036,24.036,0.112
45,18.000,7.888,5.262,5.586,5.776,12.019,14.015,14.565,19.099,19.099,0.127
50,14.600,8.972,5.232,5.893,6.707,12.332,14.189,14.543,17.614,17.614,0.111
55,17.600,8.219,5.271,5.588,5.842,12.323,13.561,14.613,16.932,16.932,0.122
