Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,207.400,4.795,0.522,1.901,3.162,6.452,9.099,11.865,22.732,78.979,0.209
5,272.400,3.656,0.364,1.335,2.305,4.389,8.123,9.724,16.740,73.362,0.274
10,378.000,2.631,0.378,0.955,1.997,3.482,5.781,7.270,10.008,17.554,0.380
15,336.000,2.964,0.325,0.981,2.098,3.688,6.901,8.035,15.364,22.383,0.337
20,369.000,2.695,0.308,0.861,1.924,3.122,6.554,8.164,15.720,17.752,0.371
25,326.400,3.057,0.350,0.940,2.032,3.760,6.914,8.264,14.974,20.884,0.327
30,324.600,3.065,0.335,1.043,2.006,3.841,6.702,8.074,15.661,82.798,0.326
35,299.000,3.336,0.355,1.064,2.168,4.273,7.591,9.139,16.554,22.444,0.300
40,323.000,3.082,0.372,1.073,2.039,3.820,6.879,8.329,15.887,22.274,0.324
45,230.600,4.324,0.382,1.662,2.822,6.055,8.679,10.844,18.659,74.192,0.231
50,338.200,2.943,0.366,0.975,2.022,3.718,6.682,8.200,12.977,19.325,0.340
55,345.400,2.882,0.288,0.919,2.028,3.655,6.590,7.902,12.618,17.683,0.347
