Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,164.200,3.840,1.252,2.667,3.398,4.409,5.824,7.039,10.664,30.534,0.260
5,164.000,3.889,1.038,2.402,3.304,5.240,6.497,7.278,9.145,12.831,0.257
10,196.800,3.400,1.272,2.242,2.912,3.822,6.108,6.965,8.323,10.771,0.294
15,164.000,3.957,1.518,2.479,3.288,5.083,7.034,8.023,9.825,11.217,0.253
20,165.600,3.901,1.017,2.392,3.056,4.737,7.549,8.410,9.830,23.803,0.256
25,163.800,4.214,1.212,2.457,3.355,5.672,7.835,8.763,10.302,10.804,0.237
30,128.200,5.235,1.470,3.368,5.179,6.719,8.416,9.292,10.304,15.283,0.191
35,144.600,4.517,1.061,2.532,3.647,6.313,8.009,9.093,9.900,19.251,0.221
40,153.000,4.140,1.593,2.447,3.264,5.627,7.615,8.651,9.565,12.665,0.242
45,160.600,4.156,1.426,2.702,3.602,5.270,6.930,7.948,9.968,14.444,0.241
50,128.200,5.123,1.587,3.208,4.366,6.196,8.868,10.535,15.262,26.167,0.195
55,110.000,5.880,1.630,3.758,5.629,7.533,9.205,10.443,13.250,19.805,0.170
