Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.600,11.163,5.903,6.785,9.090,14.364,17.369,19.663,36.487,36.487,0.090
5,14.000,10.202,5.623,6.316,11.692,12.736,14.646,15.237,25.246,25.246,0.098
10,14.400,9.329,5.464,6.030,6.865,12.832,14.304,14.842,19.160,19.160,0.107
15,12.800,10.110,5.302,6.013,11.885,13.371,13.836,14.133,14.769,14.769,0.099
20,11.600,11.367,5.253,6.127,13.511,14.034,14.601,15.000,16.314,16.314,0.088
25,14.000,8.833,5.373,5.774,6.099,13.359,14.361,14.717,18.495,18.495,0.113
30,24.800,6.586,5.185,5.641,5.792,6.185,9.007,12.503,14.776,15.837,0.152
35,15.200,8.960,5.354,5.785,6.459,12.699,13.898,14.283,14.822,14.822,0.112
40,17.400,9.249,5.346,5.881,6.615,12.926,13.923,14.276,16.358,16.358,0.108
45,14.800,8.074,5.331,5.596,5.928,12.170,13.826,14.031,14.384,14.384,0.124
50,15.000,7.946,5.373,5.748,6.084,9.744,13.877,15.727,16.170,16.170,0.126
55,14.000,8.273,5.502,5.889,6.127,12.637,14.559,14.964,16.079,16.079,0.121
